Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_blacken_COCA_GENERIC,GPT_CATEGORY
2,2019,ACAD,... Brazilian Administration Review,"1952). Thus, social class can act as a form of whitening or blackening (Azevedo, 1995; M. N. da Silva, 2000; N. do V.",NOUN,NOUN,NOUN,"1952). Thus, social class can act as a form of whitening or blackening (Azevedo, 1995; M. N. da Silva, 2000; N. do V.",black,NOUN,NOUN
3,2019,ACAD,... Brazilian Administration Review,"class is fundamental to the process of Brazilian racialization, demonstrating that both whitening and blackening are not a phenotypic property of the bodies themselves (DuBois, 1970).",NOUN,NOUN,NOUN,"class is fundamental to the process of Brazilian racialization, demonstrating that both whitening and blackening are not a phenotypic property of the bodies themselves (DuBois, 1970).",black,NOUN,NOUN
97,1993,MOV,"... Shit - Binge & Purge, San Diego",dead Blackened is the end To begin whipping dance of the dead Color our world blackened Blistering of Earth Terminate is worth I don't think that's fucking safe...,MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,dead Blackened is the end To begin whipping dance of the dead Color our world blackened Blistering of Earth Terminate is worth I don't think that's fucking safe...,black,ADJECTIVE,ADJECTIVE
15,2012,WEB,...al.library.upenn.edu,"incense, foul with the ashes of innumerable joss-sticks, and above it an equally blackened and much worn figure of a tiger in granite. To this beast, which",ADJECTIVE,ADJECTIVE,ADJECTIVE,"incense, foul with the ashes of innumerable joss-sticks, and above it an equally blackened and much worn figure of a tiger in granite. To this beast, which",black,ADJECTIVE,ADJECTIVE
16,2012,WEB,...al.library.upenn.edu,". Both men and women are short, and the teeth of both sexes are blackened by the constant chewing of the betel-nut, which reddens the saliva, which is",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,". Both men and women are short, and the teeth of both sexes are blackened by the constant chewing of the betel-nut, which reddens the saliva, which is",black,MAKE_BLACK,MAKE_BLACK
17,2012,WEB,...al.library.upenn.edu,"flat nose, open wide nostrils, thick lips, and filed teeth, much blackened by betel-nut chewing. Her expression is pleasant, and her manner is prepossessing.",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"flat nose, open wide nostrils, thick lips, and filed teeth, much blackened by betel-nut chewing. Her expression is pleasant, and her manner is prepossessing.",black,MAKE_BLACK,MAKE_BLACK
18,2012,WEB,...al.library.upenn.edu,"which they are cleaned by winnowing. Black pepper consists of such berries wrinkled and blackened in the process of drying, and white pepper of similar berries freed from the",BE(COME)_BLACK,BE(COME)_BLACK,BE(COME)_BLACK,"which they are cleaned by winnowing. Black pepper consists of such berries wrinkled and blackened in the process of drying, and white pepper of similar berries freed from the",black,ADJECTIVE,ADJECTIVE
36,2012,WEB,...al.library.upenn.edu,"awake, he looked at his feet, to perceive that some wag had neatly blackened them with shoe polish from the porter's closet. He immediately reached under his",APPLY_BLACKING,APPLY_BLACKING,APPLY_BLACKING,"awake, he looked at his feet, to perceive that some wag had neatly blackened them with shoe polish from the porter's closet. He immediately reached under his",black,APPLY_BLACKING,APPLY_BLACKING
45,2012,WEB,...al.library.upenn.edu,"cleared from pots, and to a great pool of blood and dust mingled, blackening in the sun, then another and another, till there were five of them",BE(COME)_BLACK,BE(COME)_BLACK,BE(COME)_BLACK,"cleared from pots, and to a great pool of blood and dust mingled, blackening in the sun, then another and another, till there were five of them",black,BE(COME)_BLACK,BE(COME)_BLACK
46,2012,WEB,...al.library.upenn.edu,"very repulsive look. It produces much the same appearance of wreck and ruin as blackening the teeth does in Japan, and makes a smile a thing to be dreaded",PAINT_BODY_BLACK,PAINT_BODY_BLACK,PAINT_BODY_BLACK,"very repulsive look. It produces much the same appearance of wreck and ruin as blackening the teeth does in Japan, and makes a smile a thing to be dreaded",black,NOUN,NOUN
