Reference,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_blacken_EHCB_GENERIC,GPT_CATEGORY
1598,,,,"not be dulled. </s><s> Dendroide, a kind of ſpurge. </s><s> Denegare, to denie, to refuſe. </s><s> Denigrare, to obſcure, to darken, to taxe, to blacken , to blemiſh. </s><s> Denominare, to nominate, to name by. </s><s> Denominatione, a denomination. </s><s> Denominatiuo, that is deriued of a",DEFAME,DEFAME,DEFAME,"not be dulled. </s><s> Dendroide, a kind of ſpurge. </s><s> Denegare, to denie, to refuſe. </s><s> Denigrare, to obſcure, to darken, to taxe, to blacken , to blemiſh. </s><s> Denominare, to nominate, to name by. </s><s> Denominatione, a denomination. </s><s> Denominatiuo, that is deriued of a",black,DEFAME,DEFAME
1602,,,,"if pardons preuaile not, for that they reach neither quicke nor dead: why doe wee listen to these vngodly Sirens? who blacken the ayre with the fogge of their dearne diuinitie, and driue away al comfort from distressed soules, with these wofull",CORRUPT,CORRUPT,CORRUPT,"if pardons preuaile not, for that they reach neither quicke nor dead: why doe wee listen to these vngodly Sirens? who blacken the ayre with the fogge of their dearne diuinitie, and driue away al comfort from distressed soules, with these wofull",black,CORRUPT,CORRUPT
1612,,,,", their bulles are divulged, their antichristian doctrine is traduced by Symancha, Costerus and Dolman, who haue blackened the aire with their derne diuinitie, whilest they auerre that subiects may rise, rebell, & kill their kings, if they be",CORRUPT,CORRUPT,CORRUPT,", their bulles are divulged, their antichristian doctrine is traduced by Symancha, Costerus and Dolman, who haue blackened the aire with their derne diuinitie, whilest they auerre that subiects may rise, rebell, & kill their kings, if they be",black,CORRUPT,CORRUPT
1609,,,,", Vignols, Eſurgni: Carkanets of iron, and of gold. </s><s> CHAP. </s><s> XIII. </s><s> Of mariage: The Iewes cuſtome: The widdowes do blacken their faces: the proſtituting of Maidens: the continency of the Souriquois women: the maner to make ſute to a maid for",PAINT_BODY_BLACK,BO_COVER,BO_COVER,", Vignols, Eſurgni: Carkanets of iron, and of gold. </s><s> CHAP. </s><s> XIII. </s><s> Of mariage: The Iewes cuſtome: The widdowes do blacken their faces: the proſtituting of Maidens: the continency of the Souriquois women: the maner to make ſute to a maid for",black,PAINT_BODY_BLACK,PAINT_BODY_BLACK
1638,,,,"my selfe, so neare am I to the brinke: yet see what light thoughts sparkle out of this dead Turffe! </s><s> My eyes darken; my teeth blacken ; my heart heateth; my hoarse throat ruttleth; my countenance hath lost her colour; all my powers and motions their",BE(COME)_BLACK,BE(COME)_BLACK,BE(COME)_BLACK,"my selfe, so neare am I to the brinke: yet see what light thoughts sparkle out of this dead Turffe! </s><s> My eyes darken; my teeth blacken ; my heart heateth; my hoarse throat ruttleth; my countenance hath lost her colour; all my powers and motions their",black,BE(COME)_BLACK,BE(COME)_BLACK
1610,,,,"they are all wicked. </s><s> Seeing the Pope can haue no more right; thē a Teacher, if he were learned: al frō him is like an hand blackened with pitch. </s><s> And S. Paul taught the Romans; that euery ſoule ſhould ſubmitt himſelfe to the higher power. </s><s> Nero was then in",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"they are all wicked. </s><s> Seeing the Pope can haue no more right; thē a Teacher, if he were learned: al frō him is like an hand blackened with pitch. </s><s> And S. Paul taught the Romans; that euery ſoule ſhould ſubmitt himſelfe to the higher power. </s><s> Nero was then in",black,ADJECTIVE,ADJECTIVE
1598,,,,"& cōtinueth in doing wel, but truſteth not in her merits or weldoings, but reioyceth in them, becauſe the Sun doth blacken & darken thē, whileſt that ſhee frō time to time doth mortifie the old man, by humbling her ſelf, & voluntary ſuffering",MAKE_BLACK,BE(COME)_BLACK,MAKE_BLACK,"& cōtinueth in doing wel, but truſteth not in her merits or weldoings, but reioyceth in them, becauſe the Sun doth blacken & darken thē, whileſt that ſhee frō time to time doth mortifie the old man, by humbling her ſelf, & voluntary ſuffering",black,BE(COME)_BLACK,BE(COME)_BLACK
1612,,,,"in the State: wherein many acts of iniustice, by the sway of power and passion, were committed, which did much blacken that time of peace, and made a good man (not by doing, but induring ill) held to be a bad king. </s><s> And it is sayd, that Emme the",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,"in the State: wherein many acts of iniustice, by the sway of power and passion, were committed, which did much blacken that time of peace, and made a good man (not by doing, but induring ill) held to be a bad king. </s><s> And it is sayd, that Emme the",black,DEFAME,DEFAME
1699,,,,", or near the effect of common Salt: It gave a Red with Tincture of Logwood (as Cellar-salt but more red) which Vitriol blackens and Alum purples. </s><s> With Syrup of Cloves it gave a dull pale with a blewish cast, as Alkalies do, but more like to Saltpetres",MAKE_BLACK,MAKE_BLACK,MAKE_BLACK,", or near the effect of common Salt: It gave a Red with Tincture of Logwood (as Cellar-salt but more red) which Vitriol blackens and Alum purples. </s><s> With Syrup of Cloves it gave a dull pale with a blewish cast, as Alkalies do, but more like to Saltpetres",black,MAKE_BLACK,MAKE_BLACK
1692,,,,"that which our Reformers taught in oppoſition to the Church of Rome; and after all the Endeavours that have been uſed to blacken them by the moſt horrid Calumnies, as well as to deſtroy them by the cruelleſt Inquiſitions and Croiſades, the",DEFAME,DEFAME,DEFAME,"that which our Reformers taught in oppoſition to the Church of Rome; and after all the Endeavours that have been uſed to blacken them by the moſt horrid Calumnies, as well as to deſtroy them by the cruelleſt Inquiſitions and Croiſades, the",black,DEFAME,DEFAME
1692,,,,": I know very well, that he has done nothing, but repeat the old Calumnies wherewith the Papiſts formerly endeavoured to blacken that great Man, without taking the leaſt notice of the Apologies that have been made in his behalf. </s><s> But either Men muſt",DEFAME,DEFAME,DEFAME,": I know very well, that he has done nothing, but repeat the old Calumnies wherewith the Papiſts formerly endeavoured to blacken that great Man, without taking the leaſt notice of the Apologies that have been made in his behalf. </s><s> But either Men muſt",black,DEFAME,DEFAME
