Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_pink_COCA_GENERIC,GPT_CATEGORY
1,2019,FIC,SouthernRev,"it did. # I was taking batting practice at the bluff, the ocean pinked in sunset, when a car pulled up the driveway. A door opened and",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"it did. # I was taking batting practice at the bluff, the ocean pinked in sunset, when a car pulled up the driveway. A door opened and",unknown,BE(COME)_PINK,BE(COME)_PINK
2,2019,FIC,SciFI & Fantasy,the duck. It had bled under the tines of her fork and the china pinked greasily with fat as she ate. When the time came to toast their audience,BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,the duck. It had bled under the tines of her fork and the china pinked greasily with fat as she ate. When the time came to toast their audience,unknown,NONE,NONE
3,2019,FIC,Analog,"into the bubblegum colored tissue and it went white without oozing or hurting and then pinked up again. My teeth were whole, unchipped, tartar free. # I",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"into the bubblegum colored tissue and it went white without oozing or hurting and then pinked up again. My teeth were whole, unchipped, tartar free. # I",unknown,BE(COME)_PINK,BE(COME)_PINK
4,2019,FIC,Fan Fic,"their talking about. Maybe they're talking about your hair! "" His cheeks pinked as he self-consciously tried to smooth down his hair, which seemed to perpetually stick",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"their talking about. Maybe they're talking about your hair! "" His cheeks pinked as he self-consciously tried to smooth down his hair, which seemed to perpetually stick",unknown,BE(COME)_PINK,BE(COME)_PINK
5,2018,FIC,Ploughshares,"but she sees it now as they angle past her -- their hollow cheeks still pinked with the excitement of the show, their long arms downed in the fine hair",BE(COME)_PINK,BE(COME)_PINK,BE(COME)_PINK,"but she sees it now as they angle past her -- their hollow cheeks still pinked with the excitement of the show, their long arms downed in the fine hair",unknown,BLUSH,BLUSH
6,2017,SPOK,NBC: Today Show,"a single process. She had a few grays to cover and I highlighted -- pinked it and highlights are on the face. KATHIE-LEE-GIFFORD# And, Jill, the outfit",MAKE_PINK,MAKE_PINK,MAKE_PINK,"a single process. She had a few grays to cover and I highlighted -- pinked it and highlights are on the face. KATHIE-LEE-GIFFORD# And, Jill, the outfit",unknown,MAKE_PINK,MAKE_PINK
7,2015,FIC,Bk:LastDaysCondor,"in the house, his back pressed against the door he slammed shut. Sundown pinked his landlord's lair, the furniture she'd left when she had to rush",MAKE_PINK,MAKE_PINK,MAKE_PINK,"in the house, his back pressed against the door he slammed shut. Sundown pinked his landlord's lair, the furniture she'd left when she had to rush",unknown,BE(COME)_PINK,BE(COME)_PINK
8,2013,FIC,Bk:BigSkySummer,"at her when she came to a stop beside Joslyn, and a fetching blush pinked her cheeks. # Next to join the march were Boone's two young sons",MAKE_PINK,MAKE_PINK,MAKE_PINK,"at her when she came to a stop beside Joslyn, and a fetching blush pinked her cheeks. # Next to join the march were Boone's two young sons",unknown,BLUSH,BLUSH
9,2013,FIC,WestHumRev,"normal. The moming star is glowing in the east, the highest clouds are pinked with pinkto the strains of a Strad, I peek through my fingers""",MAKE_PINK,ADJECTIVE,BE(COME)_PINK,"normal. The moming star is glowing in the east, the highest clouds are pinked with pinkto the strains of a Strad, I peek through my fingers""",unknown,BE(COME)_PINK,BE(COME)_PINK
10,2013,TV,Sam & Cat,you done?! She accused me of stealing her Bibble and... and she pinked my motorcycle! But that's no reason to thrust a shove-mucker through her head,NONE,MAKE_PINK,MAKE_PINK,you done?! She accused me of stealing her Bibble and... and she pinked my motorcycle! But that's no reason to thrust a shove-mucker through her head,unknown,NONE,NONE
