Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_red_COHA_GENERIC,GPT_CATEGORY
1,1889,FIC,QueenHildegarde,"just under the window; and now his wife had joined him, after "" redding up "" the kitchen, and giving orders for the next morning to the tidy",NONE,NONE,NONE,"just under the window; and now his wife had joined him, after "" redding up "" the kitchen, and giving orders for the next morning to the tidy",unknown,NONE,NONE
2,1909,FIC,Play:FaithHealer,"true cross. (MARTHA enters from the kitchen and potters about the room "" redding up. "") Look at him! Do you think he'll ever get",NONE,NONE,NONE,"true cross. (MARTHA enters from the kitchen and potters about the room "" redding up. "") Look at him! Do you think he'll ever get",unknown,NONE,NONE
3,1910,FIC,EmigrantTrail,"would be a good thing to have a day off for washing and general "" redding up. "" But the doctor had other intentions. In his own words,",NONE,NONE,NONE,"would be a good thing to have a day off for washing and general "" redding up. "" But the doctor had other intentions. In his own words,",unknown,NONE,NONE
4,1910,FIC,EmigrantTrail,"proud content. Then she shooed them out and went about her work of "" redding up, "" pacing the earthen floor with the proud tread of victory. Courant",NONE,NONE,NONE,"proud content. Then she shooed them out and went about her work of "" redding up, "" pacing the earthen floor with the proud tread of victory. Courant",unknown,NONE,NONE
5,1920,NEWS,Chicago,"? Briggs shot the Later MeGavick came to my house with some women, and Redding fol. lowed him. Redding was weak. A doe? t? -,",NOUN,NOUN,NONE,"? Briggs shot the Later MeGavick came to my house with some women, and Redding fol. lowed him. Redding was weak. A doe? t? -,",unknown,NONE,NONE
6,1922,FIC,Gigolo,"in her domestic side. Harrietta did a good deal of tidying and dusting and redding up in her own two-room apartment, so high and bright and spotless. She",NONE,NONE,NONE,"in her domestic side. Harrietta did a good deal of tidying and dusting and redding up in her own two-room apartment, so high and bright and spotless. She",unknown,NONE,NONE
7,1938,FIC,Harpers,"get them. But I did. The whole two dozen. They got to Redding about ten days after I arrived. "" Well, there was something strange about",NOUN,NOUN,NONE,"get them. But I did. The whole two dozen. They got to Redding about ten days after I arrived. "" Well, there was something strange about",unknown,NONE,NONE
8,1939,MAG,Time,the Holy Land. # Last week the Buckfast monks and lay brothers busied themselves redding up the abbey as well as performing their usual work at their beehives and their,NONE,NONE,NONE,the Holy Land. # Last week the Buckfast monks and lay brothers busied themselves redding up the abbey as well as performing their usual work at their beehives and their,unknown,NONE,NONE
9,1945,FIC,HappyTime,"us made our way to Major Hill Park, and while the golden sun was redding and violeting the Ch -- teau Laurier we hunted for the watch. "" It",NOUN,MAKE_RED,MAKE_RED,"us made our way to Major Hill Park, and while the golden sun was redding and violeting the Ch -- teau Laurier we hunted for the watch. "" It",unknown,BE(COME)_RED,BE(COME)_RED
10,1954,MAG,Time," 197470 AN AMERICAN IN INDIA (277 pp.) - Sounders Redding - Bobbs - Merrill ($3.50). # # Saunders Redding, 48,",NOUN,NOUN,NONE," 197470 AN AMERICAN IN INDIA (277 pp.) - Sounders Redding - Bobbs - Merrill ($3.50). # # Saunders Redding, 48,",unknown,NONE,NONE
