Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_red_EHCB_GENERIC,GPT_CATEGORY
1748,,,,did heav'n diſplay to mortal eyes </s><s> Aërial knights and combats in the ſkies! </s><s> Was it for this Northumbrian ſtreams look'd red ! </s><s> And Thames driv'n backward ſhow'd his ſecret bed! </s><s> Falſe Auguries! th' inſulting victor's ſcorn! </s><s> Ev'n our own,NOUN,ADJECTIVE,ADJECTIVE,did heav'n diſplay to mortal eyes </s><s> Aërial knights and combats in the ſkies! </s><s> Was it for this Northumbrian ſtreams look'd red ! </s><s> And Thames driv'n backward ſhow'd his ſecret bed! </s><s> Falſe Auguries! th' inſulting victor's ſcorn! </s><s> Ev'n our own,unknown,ADJECTIVE,ADJECTIVE
1753,,,,"did Heav'n diſplay to mortal eyes Aerial knights, and combats in the ſkies! </s><s> Was it for this Northumbrian ſtreams look'd red ! </s><s> And Thames driv'n backwards ſhew'd his ſecret bed! </s><s> Falſe Auguries! th' inſulting victors ſcorn! </s><s> Ev'n our own",REPEATED,REPEATED,REPEATED,"did Heav'n diſplay to mortal eyes Aerial knights, and combats in the ſkies! </s><s> Was it for this Northumbrian ſtreams look'd red ! </s><s> And Thames driv'n backwards ſhew'd his ſecret bed! </s><s> Falſe Auguries! th' inſulting victors ſcorn! </s><s> Ev'n our own",unknown,ADJECTIVE,ADJECTIVE
1600,,,,"were exceeding wealthie; for the plaines stretched almost fortie miles right foorth from each side of their towne. </s><s> I red (as I remember) in a certaine storie, that they had in times past such abundance of corne, as they would giue a camels",NONE,NONE,NONE,"were exceeding wealthie; for the plaines stretched almost fortie miles right foorth from each side of their towne. </s><s> I red (as I remember) in a certaine storie, that they had in times past such abundance of corne, as they would giue a camels",unknown,NONE,NONE
1683,,,,", containing ſuch a Spell, </s><s> ' As rarely did Epitomize </s><s> ' What e're Pluto's Wit could deviſe. </s><s> ' With that a Shirt of Lawn, dy'd red , </s><s> ' And all over Charactered. </s><s> ' It was a Preſent from a Fiend, </s><s> ' Sent up to me, as a True Friend. </s><s> ' Th'inchanted Clout was for a",NOUN,ADJECTIVE,ADJECTIVE,", containing ſuch a Spell, </s><s> ' As rarely did Epitomize </s><s> ' What e're Pluto's Wit could deviſe. </s><s> ' With that a Shirt of Lawn, dy'd red , </s><s> ' And all over Charactered. </s><s> ' It was a Preſent from a Fiend, </s><s> ' Sent up to me, as a True Friend. </s><s> ' Th'inchanted Clout was for a",unknown,ADJECTIVE,ADJECTIVE
1596,,,,"Helenore, with girlonds all beſpred, </s><s> Whom their May-lady they had newly made: </s><s> She proud of that new honour, which they red , </s><s> And of their louely fellowſhip full glade, </s><s> Daunſt liuely, and her face did with a Lawrell ſhade. </s><s> The ſilly man that in",NONE,NONE,NONE,"Helenore, with girlonds all beſpred, </s><s> Whom their May-lady they had newly made: </s><s> She proud of that new honour, which they red , </s><s> And of their louely fellowſhip full glade, </s><s> Daunſt liuely, and her face did with a Lawrell ſhade. </s><s> The ſilly man that in",unknown,ADJECTIVE,ADJECTIVE
1782,,,,"did heav'n diſplay to mortal eyes </s><s> Aërial knights and combats in the ſkies! </s><s> Was it for this Northumbrian ſtreams look'd red , </s><s> And Thames driv'n backward ſhow'd his ſecret bed! </s><s> Falſe auguries! th' inſulting victors ſcorn! </s><s> Ev'n our own",NOUN,ADJECTIVE,ADJECTIVE,"did heav'n diſplay to mortal eyes </s><s> Aërial knights and combats in the ſkies! </s><s> Was it for this Northumbrian ſtreams look'd red , </s><s> And Thames driv'n backward ſhow'd his ſecret bed! </s><s> Falſe auguries! th' inſulting victors ſcorn! </s><s> Ev'n our own",unknown,ADJECTIVE,ADJECTIVE
1763,,,,"did heav'n diſplay to mortal eyes </s><s> Aërial knights and combats in the ſkies? </s><s> Was it for this Northumbrian ſtreams look'd red , </s><s> And Thames driv'n backward ſhow'd his ſecret bed! </s><s> Falſe auguries! th' inſulting victors ſcorn! </s><s> Ev'n our own",REPEATED,REPEATED,REPEATED,"did heav'n diſplay to mortal eyes </s><s> Aërial knights and combats in the ſkies? </s><s> Was it for this Northumbrian ſtreams look'd red , </s><s> And Thames driv'n backward ſhow'd his ſecret bed! </s><s> Falſe auguries! th' inſulting victors ſcorn! </s><s> Ev'n our own",unknown,ADJECTIVE,ADJECTIVE
1679,,,,". </s><s> That is his Bow of Peace, but this of War, </s><s> The Skie about it was with Darkness spread, </s><s> Slaughter, and Gore had stain'd it red , </s><s> Ghastly and terrible it glistned from afar. </s><s> A poysoned Arrow on the string did hang, </s><s> It hung a while, but when the Bow He",NOUN,ADJECTIVE,ADJECTIVE,". </s><s> That is his Bow of Peace, but this of War, </s><s> The Skie about it was with Darkness spread, </s><s> Slaughter, and Gore had stain'd it red , </s><s> Ghastly and terrible it glistned from afar. </s><s> A poysoned Arrow on the string did hang, </s><s> It hung a while, but when the Bow He",unknown,ADJECTIVE,ADJECTIVE
1562,,,,"gold is woont </s><s> by kynd to mooue the hart: </s><s> And often times a ſlight rewarde </s><s> doth cauſe a more deſart. </s><s> Ywritten haue I red , </s><s> I wot not in what booke: </s><s> There is no better way to fiſhe, </s><s> then with a golden hooke. </s><s> Of Romeus theſe two, </s><s> doe ſitte and chat a",NONE,NONE,NONE,"gold is woont </s><s> by kynd to mooue the hart: </s><s> And often times a ſlight rewarde </s><s> doth cauſe a more deſart. </s><s> Ywritten haue I red , </s><s> I wot not in what booke: </s><s> There is no better way to fiſhe, </s><s> then with a golden hooke. </s><s> Of Romeus theſe two, </s><s> doe ſitte and chat a",unknown,VERB or verbal element,BE(COME)_RED
1604,,,,"hir tak away perforce. </s><s> The Squyer said, be thow ane Knicht, </s><s> Cum furth to me and shaw the richt. </s><s> Bot hand for hand without redding , </s><s> That thair be na mair blude shedding. </s><s> And gif thow winnis me in the feild, </s><s> I sall my Ladie to the ȝeild. </s><s> The Knicht durst",NOUN,MAKE_RED,NOUN,"hir tak away perforce. </s><s> The Squyer said, be thow ane Knicht, </s><s> Cum furth to me and shaw the richt. </s><s> Bot hand for hand without redding , </s><s> That thair be na mair blude shedding. </s><s> And gif thow winnis me in the feild, </s><s> I sall my Ladie to the ȝeild. </s><s> The Knicht durst",unknown,ADJECTIVE,ADJECTIVE
