Reference,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_redden_BNC_congreso_GENERIC,GPT_CATEGORY
Written books and periodicals,,,,"we're very grateful,' Ross told him. </s><s> 'In fact, both my wife and I are quite overcome by all your kindness.' </s><s> Ben's cheeks reddened slightly at the warm, deeply sincere note in Ross's voice. </s><s> 'Think nothing of it. </s><s> We're just anxious to do what we can. </s><s> Now",BLUSH,BLUSH,BLUSH,"we're very grateful,' Ross told him. </s><s> 'In fact, both my wife and I are quite overcome by all your kindness.' </s><s> Ben's cheeks reddened slightly at the warm, deeply sincere note in Ross's voice. </s><s> 'Think nothing of it. </s><s> We're just anxious to do what we can. </s><s> Now",unknown,BLUSH,BLUSH
Written books and periodicals,,,,"'Yes, we were pretty engrossed... there was something we needed to discuss...' </s><s> She trailed off and, feeling her cheeks redden , she glanced up to find David's eyes on her. </s><s> He was sprawled in an armchair opposite and the expression on his face",BLUSH,BLUSH,BLUSH,"'Yes, we were pretty engrossed... there was something we needed to discuss...' </s><s> She trailed off and, feeling her cheeks redden , she glanced up to find David's eyes on her. </s><s> He was sprawled in an armchair opposite and the expression on his face",unknown,BLUSH,BLUSH
Written books and periodicals,,,,"conscious of his presence, and it was with relief that she completed her task and sat back in the chair. </s><s> She felt herself redden slightly under his gaze. </s><s> 'Well?' he asked. </s><s> 'Well, what?' </s><s> 'You promised to tell me all about it. </s><s> You haven't gone back on",BLUSH,BLUSH,BLUSH,"conscious of his presence, and it was with relief that she completed her task and sat back in the chair. </s><s> She felt herself redden slightly under his gaze. </s><s> 'Well?' he asked. </s><s> 'Well, what?' </s><s> 'You promised to tell me all about it. </s><s> You haven't gone back on",unknown,BLUSH,BLUSH
Written books and periodicals,,,,"This is your boyfriend, I suppose? </s><s> You want to find your roots before you get married, is that it?' </s><s> Juliet felt her cheeks redden . </s><s> She was too embarrassed to look at David, but she knew he must be amused. </s><s> 'Something like that,' she heard him say",BLUSH,BLUSH,BLUSH,"This is your boyfriend, I suppose? </s><s> You want to find your roots before you get married, is that it?' </s><s> Juliet felt her cheeks redden . </s><s> She was too embarrassed to look at David, but she knew he must be amused. </s><s> 'Something like that,' she heard him say",unknown,BLUSH,BLUSH
Written books and periodicals,,,,", and she hated him for that, too. </s><s> She'd been wasting her time. </s><s> Her eyes fell from his, widening as she caught sight of a reddening patch on his cheek. </s><s> She must have caught him with her fist, though she hadn't felt it. </s><s> She'd never done anything so",NOUN,NOUN,NOUN,", and she hated him for that, too. </s><s> She'd been wasting her time. </s><s> Her eyes fell from his, widening as she caught sight of a reddening patch on his cheek. </s><s> She must have caught him with her fist, though she hadn't felt it. </s><s> She'd never done anything so",unknown,BLUSH,BLUSH
Written books and periodicals,,,,"are you frightened of?' </s><s> The deep voice was quietly probing, slightly mocking. </s><s> 'Me?' </s><s> 'Don't be so absurd!' she snapped, reddening . </s><s> 'Why on earth should I be frightened of you?' </s><s> She glanced round as she spoke, wondering if the beautiful Tara was nearby",BLUSH,BLUSH,BLUSH,"are you frightened of?' </s><s> The deep voice was quietly probing, slightly mocking. </s><s> 'Me?' </s><s> 'Don't be so absurd!' she snapped, reddening . </s><s> 'Why on earth should I be frightened of you?' </s><s> She glanced round as she spoke, wondering if the beautiful Tara was nearby",unknown,BLUSH,BLUSH
Written books and periodicals,,,,"!' </s><s> The child looked at her father accusingly. </s><s> 'Dad – what about Rufus and Candy? </s><s> Have they had that injection?' </s><s> He reddened slowly. </s><s> 'Well, they had the first one, of course but –' he shrugged ' – time slips by, you know, and I think they're a bit",BLUSH,BLUSH,BLUSH,"!' </s><s> The child looked at her father accusingly. </s><s> 'Dad – what about Rufus and Candy? </s><s> Have they had that injection?' </s><s> He reddened slowly. </s><s> 'Well, they had the first one, of course but –' he shrugged ' – time slips by, you know, and I think they're a bit",unknown,BLUSH,BLUSH
Written books and periodicals,,,,"into the thick navy wool without inhibition. </s><s> It was a long time before she drew away, knuckling the tears away from her reddened eyes. </s><s> 'Hey – come on,' he said softly, and smiled at her as he reached over to tear off a sheet of kitchen-towel. </s><s> Leonora",EYES_RED,EYES_RED,EYES_RED,"into the thick navy wool without inhibition. </s><s> It was a long time before she drew away, knuckling the tears away from her reddened eyes. </s><s> 'Hey – come on,' he said softly, and smiled at her as he reached over to tear off a sheet of kitchen-towel. </s><s> Leonora",unknown,ADJECTIVE,ADJECTIVE
Written books and periodicals,,,,"you have no objection to dining with your father on his first night out of hospital?' </s><s> 'Of course not!' she said angrily, reddening . </s><s> 'I'd just like to be asked, that's all!' </s><s> He gave her a look of contempt that made her want to hit him. </s><s> Then he drawled, '",BLUSH,BLUSH,BLUSH,"you have no objection to dining with your father on his first night out of hospital?' </s><s> 'Of course not!' she said angrily, reddening . </s><s> 'I'd just like to be asked, that's all!' </s><s> He gave her a look of contempt that made her want to hit him. </s><s> Then he drawled, '",unknown,BLUSH,BLUSH
Written books and periodicals,,,,"a murderer!' yelled Pike again. </s><s> 'Leo,' came a voice that I recognized as my mum's. </s><s> 'You're not a murderer!' </s><s> Pike's face reddened with fury. </s><s> The truck turned right by the big houses at the south edge of the Common and started along the straight stretch",BLUSH,BLUSH,BLUSH,"a murderer!' yelled Pike again. </s><s> 'Leo,' came a voice that I recognized as my mum's. </s><s> 'You're not a murderer!' </s><s> Pike's face reddened with fury. </s><s> The truck turned right by the big houses at the south edge of the Common and started along the straight stretch",unknown,BLUSH,BLUSH
Written books and periodicals,,,,"described could inspire what Thorkel undoubtedly felt for him. </s><s> Prior Tuathal pulled his hood absently over his reddening crown and sat, his chin in the sun, bending his sharp intelligence to the exchange between the Earl and the King by which",NOUN,ADJECTIVE,ADJECTIVE,"described could inspire what Thorkel undoubtedly felt for him. </s><s> Prior Tuathal pulled his hood absently over his reddening crown and sat, his chin in the sun, bending his sharp intelligence to the exchange between the Earl and the King by which",unknown,BLUSH,BLUSH
Written books and periodicals,,,,"is. 1 don't see what harm they're doing!' </s><s> They're evil!' said Maisie. </s><s> 'They are the scum of the earth! </s><s> They're –' her face reddened with fury – 'intolerant! </s><s> Do you know why they wear one shoe? </s><s> It's to shame the rest of the Dharjees, because they say that",BLUSH,BLUSH,BLUSH,"is. 1 don't see what harm they're doing!' </s><s> They're evil!' said Maisie. </s><s> 'They are the scum of the earth! </s><s> They're –' her face reddened with fury – 'intolerant! </s><s> Do you know why they wear one shoe? </s><s> It's to shame the rest of the Dharjees, because they say that",unknown,BLUSH,BLUSH
Written books and periodicals,,,,"– but who didn't, these days? – they lived in Cultra, but they were only ordinary, not millionaires or anything. </s><s> She reddened as she explained, but Rory understood. </s><s> He felt the embarrassment himself sometimes, as all his friends were stony",BLUSH,BLUSH,BLUSH,"– but who didn't, these days? – they lived in Cultra, but they were only ordinary, not millionaires or anything. </s><s> She reddened as she explained, but Rory understood. </s><s> He felt the embarrassment himself sometimes, as all his friends were stony",unknown,BLUSH,BLUSH
Written books and periodicals,,,,"on the button which he seemed so loath to irrevocably press. </s><s> He had a very Irish face, although he was a Protestant, pale reddened skin, white hair, hooded watchful eyes of green-flecked hazel. </s><s> He did not smile. </s><s> 'I expected four. </s><s> Well done. </s><s> The",ADJECTIVE,ADJECTIVE,ADJECTIVE,"on the button which he seemed so loath to irrevocably press. </s><s> He had a very Irish face, although he was a Protestant, pale reddened skin, white hair, hooded watchful eyes of green-flecked hazel. </s><s> He did not smile. </s><s> 'I expected four. </s><s> Well done. </s><s> The",unknown,ADJECTIVE,ADJECTIVE
Written books and periodicals,,,,"windows. </s><s> She was a widow, fleshy, piggy-eyed, slack-mouthed, with a taste for sweet sherry. </s><s> She wore a cross around her reddened crinkly neck, wore black as befitted her widowed state, and her hair in tight grey curls between which lines of white,",ADJECTIVE,ADJECTIVE,ADJECTIVE,"windows. </s><s> She was a widow, fleshy, piggy-eyed, slack-mouthed, with a taste for sweet sherry. </s><s> She wore a cross around her reddened crinkly neck, wore black as befitted her widowed state, and her hair in tight grey curls between which lines of white,",unknown,ADJECTIVE,ADJECTIVE
Written books and periodicals,,,,"sanguine about these pleasant arrangements. </s><s> 'That's outrageous. </s><s> Don't you feel like a second-class citizen?' </s><s> Riva reddens and bridles in her turn. </s><s> 'Listen, we like it the way it is. </s><s> We don't need an apikoros like you to tell us how oppressed we are",BLUSH,BLUSH,BLUSH,"sanguine about these pleasant arrangements. </s><s> 'That's outrageous. </s><s> Don't you feel like a second-class citizen?' </s><s> Riva reddens and bridles in her turn. </s><s> 'Listen, we like it the way it is. </s><s> We don't need an apikoros like you to tell us how oppressed we are",unknown,BLUSH,BLUSH
Written books and periodicals,,,,"her face. </s><s> Arms akimbo, she made herself ready for battle. </s><s> Ranging on her side, a flare from the window lit up the coarse, reddening features, followed immediately by the uncouth clatter of the skies, echoing her strident voice. </s><s> 'And what might be the",ADJECTIVE,ADJECTIVE,ADJECTIVE,"her face. </s><s> Arms akimbo, she made herself ready for battle. </s><s> Ranging on her side, a flare from the window lit up the coarse, reddening features, followed immediately by the uncouth clatter of the skies, echoing her strident voice. </s><s> 'And what might be the",unknown,BE(COME)_RED,BE(COME)_RED
Written books and periodicals,,,,", is that it? </s><s> My fortune was denied you at the last, and that was the spur. </s><s> Was it not, Warren?' </s><s> His coarsened features reddened . </s><s> 'I had need of money, it is true. </s><s> But I cared for you, Theodosia. </s><s> Can you doubt it?' </s><s> Theda fell back against the desk, a",BLUSH,BLUSH,BLUSH,", is that it? </s><s> My fortune was denied you at the last, and that was the spur. </s><s> Was it not, Warren?' </s><s> His coarsened features reddened . </s><s> 'I had need of money, it is true. </s><s> But I cared for you, Theodosia. </s><s> Can you doubt it?' </s><s> Theda fell back against the desk, a",unknown,BLUSH,BLUSH
Written books and periodicals,,,,"? </s><s> I always thought my intelligence was more than adequate.' </s><s> She had the satisfaction of seeing Mr Clarke's face redden with embarrassment. </s><s> At least it got her out of his office without more lecturing, and when Glyn presented himself",BLUSH,BLUSH,BLUSH,"? </s><s> I always thought my intelligence was more than adequate.' </s><s> She had the satisfaction of seeing Mr Clarke's face redden with embarrassment. </s><s> At least it got her out of his office without more lecturing, and when Glyn presented himself",unknown,BLUSH,BLUSH
Written miscellaneous,,,,"long, have you? </s><s> At least you're not in a top flat like me. </s><s> You're lucky.' </s><s> She heaved her bulk up the next flight, her face reddening and her breath coming in short, painful puffs. </s><s> Madge had offered to carry her bag but she drew away and clung to the",BLUSH,BLUSH,BLUSH,"long, have you? </s><s> At least you're not in a top flat like me. </s><s> You're lucky.' </s><s> She heaved her bulk up the next flight, her face reddening and her breath coming in short, painful puffs. </s><s> Madge had offered to carry her bag but she drew away and clung to the",unknown,BLUSH,BLUSH
Written books and periodicals,,,,", looking very tall and brown; like a sailor, Emmie thought. </s><s> 'How's Alice?' </s><s> The words came out rough and abrupt and he reddened . </s><s> 'She's all right,' Emmie mumbled, keeping her head low. </s><s> He said in a lost way, 'Is she? </s><s> I just wondered.' </s><s> He jerked his",BLUSH,BLUSH,BLUSH,", looking very tall and brown; like a sailor, Emmie thought. </s><s> 'How's Alice?' </s><s> The words came out rough and abrupt and he reddened . </s><s> 'She's all right,' Emmie mumbled, keeping her head low. </s><s> He said in a lost way, 'Is she? </s><s> I just wondered.' </s><s> He jerked his",unknown,BLUSH,BLUSH
Written books and periodicals,,,,"to his injury, relieved to see that he was now losing very little blood, and that although the area about the wound was reddened and irritated the edges of the gash where the arrow had entered were not jagged, which would have delayed healing. </s><s> She",ADJECTIVE,ADJECTIVE,ADJECTIVE,"to his injury, relieved to see that he was now losing very little blood, and that although the area about the wound was reddened and irritated the edges of the gash where the arrow had entered were not jagged, which would have delayed healing. </s><s> She",unknown,ADJECTIVE,ADJECTIVE
Written books and periodicals,,,,"on his stool. </s><s> I notice he does that whenever I talk about my 'amours', my little love trysts. </s><s> The colour of his face always reddens just as it does when fat Margot, the launderess, who keeps me supplied with cups of sack, bends and dips to provide me with",BLUSH,BLUSH,BLUSH,"on his stool. </s><s> I notice he does that whenever I talk about my 'amours', my little love trysts. </s><s> The colour of his face always reddens just as it does when fat Margot, the launderess, who keeps me supplied with cups of sack, bends and dips to provide me with",unknown,BLUSH,BLUSH
Written books and periodicals,,,,"subtle flavours; and invent recipes. </s><s> Prepare a fire base of larch kindling; add well-seasoned oak until the logs redden deeply; place one large back-log of holly, and add, from the fire back to the front, one crab-apple log, one of",BE(COME)_RED,BE(COME)_RED,BE(COME)_RED,"subtle flavours; and invent recipes. </s><s> Prepare a fire base of larch kindling; add well-seasoned oak until the logs redden deeply; place one large back-log of holly, and add, from the fire back to the front, one crab-apple log, one of",unknown,BE(COME)_RED,BE(COME)_RED
Written books and periodicals,,,,"the overlying Permo-Triassic red beds, just as in the Avon Gorge at Bristol, the topmost Carboniferous Limestone is reddened by the overlying Permo-Triassic deposits. </s><s> Similarly, right up in the Canadian Rockies, the Mississippian Rundle",BE(COME)_RED,MAKE_RED,MAKE_RED,"the overlying Permo-Triassic red beds, just as in the Avon Gorge at Bristol, the topmost Carboniferous Limestone is reddened by the overlying Permo-Triassic deposits. </s><s> Similarly, right up in the Canadian Rockies, the Mississippian Rundle",unknown,MAKE_RED,MAKE_RED
Written books and periodicals,,,,"the hall door, opening it wider and shouting. </s><s> In a high voice he used expressions she'd never heard before. </s><s> His face had reddened . </s><s> His eyes had a wildness about them, as though he might attack the boy, who was looking at him with his mouth open. </s><s> "" The",BLUSH,BLUSH,BLUSH,"the hall door, opening it wider and shouting. </s><s> In a high voice he used expressions she'd never heard before. </s><s> His face had reddened . </s><s> His eyes had a wildness about them, as though he might attack the boy, who was looking at him with his mouth open. </s><s> "" The",unknown,BLUSH,BLUSH
Written books and periodicals,,,,", he said: 'Edward, does the name Carruthers mean anything to you? </s><s> I have another one: Hannele.' </s><s> Edward flinched, then reddened . </s><s> Even after eight months the nerve was there. </s><s> Foley turned, and dragged the white steel door open. </s><s> 'Yes,' he said. </s><s> 'We",BLUSH,BLUSH,BLUSH,", he said: 'Edward, does the name Carruthers mean anything to you? </s><s> I have another one: Hannele.' </s><s> Edward flinched, then reddened . </s><s> Even after eight months the nerve was there. </s><s> Foley turned, and dragged the white steel door open. </s><s> 'Yes,' he said. </s><s> 'We",unknown,BLUSH,BLUSH
Written books and periodicals,,,,". </s><s> Cathy was surprised how ill she looked, there was an area of paleness about her eyes, and her nose was pinched and reddened about the nostrils; perhaps a summer cold, though Alan had said she was depressed. </s><s> 'Forasmuch as it hath pleased",BE(COME)_RED,BE(COME)_RED,BE(COME)_RED,". </s><s> Cathy was surprised how ill she looked, there was an area of paleness about her eyes, and her nose was pinched and reddened about the nostrils; perhaps a summer cold, though Alan had said she was depressed. </s><s> 'Forasmuch as it hath pleased",unknown,ADJECTIVE,ADJECTIVE
Written books and periodicals,,,,between us that as soon as it was possible we would go away together and start afresh.' </s><s> He could not keep still and his eyes reddened as though at any moment he might burst into tears. </s><s> 'What would have made your plans possible?' </s><s> 'It was understood that we,EYES_RED,EYES_RED,EYES_RED,between us that as soon as it was possible we would go away together and start afresh.' </s><s> He could not keep still and his eyes reddened as though at any moment he might burst into tears. </s><s> 'What would have made your plans possible?' </s><s> 'It was understood that we,unknown,EYES_RED,EYES_RED
Written books and periodicals,,,,"'ll lie awake </s><s> to sing it, uncandled and insomniac. </s><s> I'll pen my sad matutinal verse... </s><s> but here and now I shall disguise </s><s> my reddened eyes </s><s> and have her whorish, orgiastic, fierce. </s><s> III </s><s> You laugh. </s><s> We've sunk to bitterness then. </s><s> I'll learn some",ADJECTIVE,ADJECTIVE,ADJECTIVE,"'ll lie awake </s><s> to sing it, uncandled and insomniac. </s><s> I'll pen my sad matutinal verse... </s><s> but here and now I shall disguise </s><s> my reddened eyes </s><s> and have her whorish, orgiastic, fierce. </s><s> III </s><s> You laugh. </s><s> We've sunk to bitterness then. </s><s> I'll learn some",unknown,ADJECTIVE,ADJECTIVE
Written books and periodicals,,,,", a stage-set </s><s> in the desert, trimmed with orange branches, </s><s> the willow's spiky flame, or the pruned inches </s><s> of its reddened life. </s><s> The water </s><s> in the marsh is hosting a fire </s><s> that feeds untended like jealousy or wrath, </s><s> choler on black bile. </s><s> I keep to",ADJECTIVE,ADJECTIVE,ADJECTIVE,", a stage-set </s><s> in the desert, trimmed with orange branches, </s><s> the willow's spiky flame, or the pruned inches </s><s> of its reddened life. </s><s> The water </s><s> in the marsh is hosting a fire </s><s> that feeds untended like jealousy or wrath, </s><s> choler on black bile. </s><s> I keep to",unknown,ADJECTIVE,ADJECTIVE
Written books and periodicals,,,,"bathroom, her woebegone face stared at her from the mirror. </s><s> She scowled in disgust at the sight of her drooping mouth and reddened eyes. </s><s> 'You look a fright!' she said aloud. </s><s> 'You've been making a fool of yourself, dripping around like some lovesick",ADJECTIVE,ADJECTIVE,ADJECTIVE,"bathroom, her woebegone face stared at her from the mirror. </s><s> She scowled in disgust at the sight of her drooping mouth and reddened eyes. </s><s> 'You look a fright!' she said aloud. </s><s> 'You've been making a fool of yourself, dripping around like some lovesick",unknown,EYES_RED,EYES_RED
Written books and periodicals,,,,"to thrive on responsibility when she was given it. </s><s> 'Thanks, Lisa. </s><s> You've coped extremely well.' </s><s> She saw the other girl redden with pleasure. </s><s> Together they worked swiftly through the rest of the queue until at last the flow stopped and the little",BLUSH,BLUSH,BLUSH,"to thrive on responsibility when she was given it. </s><s> 'Thanks, Lisa. </s><s> You've coped extremely well.' </s><s> She saw the other girl redden with pleasure. </s><s> Together they worked swiftly through the rest of the queue until at last the flow stopped and the little",unknown,BLUSH,BLUSH
Written books and periodicals,,,,with the sheep. </s><s> I liked shooting with him. </s><s> I like his wolfhounds but my mother wouldn't let me feed them.' </s><s> She took her reddened eyes from the fire and looked at her host. </s><s> 'A week ago I played with the Rectory children. </s><s> I liked that. </s><s> And I saw Mrs,ADJECTIVE,ADJECTIVE,ADJECTIVE,with the sheep. </s><s> I liked shooting with him. </s><s> I like his wolfhounds but my mother wouldn't let me feed them.' </s><s> She took her reddened eyes from the fire and looked at her host. </s><s> 'A week ago I played with the Rectory children. </s><s> I liked that. </s><s> And I saw Mrs,unknown,ADJECTIVE,ADJECTIVE
Written books and periodicals,,,,"the soft skin of her breast. </s><s> She didn't feel pain, only a small burst of pleasure that intensified as he then licked her reddened skin. </s><s> 'I want to hear you say it, Jessamy.' </s><s> His head dipped and his teeth nipped again, only this time at the vulnerable",ADJECTIVE,ADJECTIVE,ADJECTIVE,"the soft skin of her breast. </s><s> She didn't feel pain, only a small burst of pleasure that intensified as he then licked her reddened skin. </s><s> 'I want to hear you say it, Jessamy.' </s><s> His head dipped and his teeth nipped again, only this time at the vulnerable",unknown,ADJECTIVE,ADJECTIVE
Written books and periodicals,,,,"<s> Even in the pulpit there are moments when mildness of manner is not enough. </s><s> It is certainly the case in bed.' </s><s> Frere's face reddened – a blush, yes, but also a hint of anger too. </s><s> 'I have exhorted my wife to the point where I am at a loss for patient words,' he",BLUSH,BLUSH,BLUSH,"<s> Even in the pulpit there are moments when mildness of manner is not enough. </s><s> It is certainly the case in bed.' </s><s> Frere's face reddened – a blush, yes, but also a hint of anger too. </s><s> 'I have exhorted my wife to the point where I am at a loss for patient words,' he",unknown,BLUSH,BLUSH
Written books and periodicals,,,,", </s><s> For air past our gate. </s><s> Barked at his dog knout and whipcrack </s><s> And cowerings of India: five or six wars </s><s> Stiffened in his reddened neck; </s><s> Brow bull-down for the stroke. </s><s> Wife dead, daughters gone, lived on </s><s> Honouring his own caricature. </s><s> Shot through",ADJECTIVE,ADJECTIVE,ADJECTIVE,", </s><s> For air past our gate. </s><s> Barked at his dog knout and whipcrack </s><s> And cowerings of India: five or six wars </s><s> Stiffened in his reddened neck; </s><s> Brow bull-down for the stroke. </s><s> Wife dead, daughters gone, lived on </s><s> Honouring his own caricature. </s><s> Shot through",unknown,ADJECTIVE,ADJECTIVE
