Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_redden_COHA_GENERIC,GPT_CATEGORY
546,1930,NF/ACAD,"""Hey!Yellowbacks!""","sacrificed by a good many conscripts... my self-respect. "" The captain reddened. His voice, which had been even, rose angrily. "" And you",BLUSH,BLUSH,BLUSH,"sacrificed by a good many conscripts... my self-respect. "" The captain reddened. His voice, which had been even, rose angrily. "" And you",unknown,BLUSH,BLUSH
204,1871,FIC,AdmetusOtherPoems,"love me, Faithfully, truly as I love you? "" The little lass reddened, and whitened, and smiled, And answered him with her clear eyes of",BLUSH,BLUSH,BLUSH,"love me, Faithfully, truly as I love you? "" The little lass reddened, and whitened, and smiled, And answered him with her clear eyes of",unknown,BLUSH,BLUSH
34,1859,FIC,AdoptedDaughter,"as a yearlin' heifer! "" CHAPTER II. When first morning began to redden over the eastern stars, our household was astir; and, while we partook",BE(COME)_RED,BE(COME)_RED,BE(COME)_RED,"as a yearlin' heifer! "" CHAPTER II. When first morning began to redden over the eastern stars, our household was astir; and, while we partook",unknown,BE(COME)_RED,BE(COME)_RED
67,1875,NF/ACAD,AdventuresChevalier,"hopeless, and that advance was certain death. La Salle had no wish to redden his hands with their blood. In this emergence Father Hennepin in the peaceful garb",MAKE_RED,MAKE_RED,MAKE_RED,"hopeless, and that advance was certain death. La Salle had no wish to redden his hands with their blood. In this emergence Father Hennepin in the peaceful garb",unknown,MAKE_RED,MAKE_RED
501,1920,FIC,AdventuresInSouthern,"it reached the row of victims, over whom it crunched, taking the water reddened with their blood amid an uproar of shrieks and groans most dreadful to listen to",BE(COME)_RED,MAKE_RED,BE(COME)_RED,"it reached the row of victims, over whom it crunched, taking the water reddened with their blood amid an uproar of shrieks and groans most dreadful to listen to",unknown,ADJECTIVE,ADJECTIVE
37,1839,FIC,AdventuresRobin,", and there feed him like a white-man. "" Alas! how my cheeks reddened beneath their brown covering at my unworthy fate! how my blood boiled to think",BLUSH,BLUSH,BLUSH,", and there feed him like a white-man. "" Alas! how my cheeks reddened beneath their brown covering at my unworthy fate! how my blood boiled to think",unknown,BLUSH,BLUSH
767,1972,FIC,AdventuresTheStainless,"is for you alone. Angelina is, well... "" His face reddened and he examined the file closely. "" Whoopee! "" I shouted. """,BLUSH,BLUSH,BLUSH,"is for you alone. Angelina is, well... "" His face reddened and he examined the file closely. "" Whoopee! "" I shouted. """,unknown,BLUSH,BLUSH
43,1852,FIC,AesopInRhyme ,", the feather, Are perfect nature, all together! "" The painter, reddening with despite, Whispers, "" My friend, by Jove, you're right",BLUSH,BLUSH,BLUSH,", the feather, Are perfect nature, all together! "" The painter, reddening with despite, Whispers, "" My friend, by Jove, you're right",unknown,BLUSH,BLUSH
881,1994,FIC,AfricanAmerRev,"must be the African, Native American, and European mingling in my skin, reddened by the sun, and glossed over by sweat dripping from my brow. My",MAKE_RED,MAKE_RED,MAKE_RED,"must be the African, Native American, and European mingling in my skin, reddened by the sun, and glossed over by sweat dripping from my brow. My",unknown,ADJECTIVE,ADJECTIVE
472,1920,FIC,AgeInnocence,", "" is the line the Mingotts mean to take. "" The young man reddened. "" I didn't have to wait for their cue, if that's",BLUSH,BLUSH,BLUSH,", "" is the line the Mingotts mean to take. "" The young man reddened. "" I didn't have to wait for their cue, if that's",unknown,BLUSH,BLUSH
473,1920,FIC,AgeInnocence,", then; for somebody met' em living at Lausanne together. "" Newland reddened. "" Living together? Well, why not? Who had the right to",BLUSH,BLUSH,BLUSH,", then; for somebody met' em living at Lausanne together. "" Newland reddened. "" Living together? Well, why not? Who had the right to",unknown,BLUSH,BLUSH
474,1920,FIC,AgeInnocence,"so intelligent. Are you very much in love with her? "" Newland Archer reddened and laughed. "" As much as a man can be. "" She continued",BLUSH,BLUSH,BLUSH,"so intelligent. Are you very much in love with her? "" Newland Archer reddened and laughed. "" As much as a man can be. "" She continued",unknown,BLUSH,BLUSH
475,1920,FIC,AgeInnocence,"all my old life, to become just like everybody else here. "" Archer reddened. "" You'll never be like everybody else, "" he said. She",BLUSH,BLUSH,BLUSH,"all my old life, to become just like everybody else here. "" Archer reddened. "" You'll never be like everybody else, "" he said. She",unknown,BLUSH,BLUSH
476,1920,FIC,AgeInnocence,""" he will send her a bunch of yellow roses tomorrow morning? "" Archer reddened, and his heart gave a leap of surprise. He had called only twice",BLUSH,BLUSH,BLUSH,""" he will send her a bunch of yellow roses tomorrow morning? "" Archer reddened, and his heart gave a leap of surprise. He had called only twice",unknown,BLUSH,BLUSH
477,1920,FIC,AgeInnocence,"at him. "" Well, then -- I don't understand. "" Archer reddened, and hurried on with a rush. "" We had a frank talk -- ",BLUSH,BLUSH,BLUSH,"at him. "" Well, then -- I don't understand. "" Archer reddened, and hurried on with a rush. "" We had a frank talk -- ",unknown,BLUSH,BLUSH
478,1920,FIC,AgeInnocence,"I don't understand you! "" "" Yet you understand May! "" He reddened under the retort, but kept his eyes on her. "" May is ready",BLUSH,BLUSH,BLUSH,"I don't understand you! "" "" Yet you understand May! "" He reddened under the retort, but kept his eyes on her. "" May is ready",unknown,BLUSH,BLUSH
479,1920,FIC,AgeInnocence,"or in a tone less encouraging to the vanity of the person addressed. Archer reddened to the temples, but dared not move or speak: it was as if",BLUSH,BLUSH,BLUSH,"or in a tone less encouraging to the vanity of the person addressed. Archer reddened to the temples, but dared not move or speak: it was as if",unknown,BLUSH,BLUSH
480,1920,FIC,AgeInnocence,"if this is the line you took with the Countess Olenska? "" M. Riviere reddened, but his eyes did not falter. "" No, Monsieur: I accepted",BLUSH,BLUSH,BLUSH,"if this is the line you took with the Countess Olenska? "" M. Riviere reddened, but his eyes did not falter. "" No, Monsieur: I accepted",unknown,BLUSH,BLUSH
220,1920,FIC,AgeInnocence,"of his own bluster. M. Riviere had succeeded in imposing himself: Archer, reddening slightly, dropped into his chair again, and signed to the young man to",BLUSH,BLUSH,BLUSH,"of his own bluster. M. Riviere had succeeded in imposing himself: Archer, reddening slightly, dropped into his chair again, and signed to the young man to",unknown,BLUSH,BLUSH
385,1909,FIC,AirShipBoysOrQuest,been in use during breakfast in the last explanations to Elmer. Ned's face reddened in new anger. He did not resent what the young reporter was doing;,BLUSH,BLUSH,BLUSH,been in use during breakfast in the last explanations to Elmer. Ned's face reddened in new anger. He did not resent what the young reporter was doing;,unknown,BLUSH,BLUSH
850,1988,FIC,Alaska,"in any area that the boats reached, and in time the Bering Sea was reddened with their blood. But again, a shocking eighty percent of all seals killed",BE(COME)_RED,MAKE_RED,BE(COME)_RED,"in any area that the boats reached, and in time the Bering Sea was reddened with their blood. But again, a shocking eighty percent of all seals killed",unknown,MAKE_RED,MAKE_RED
