Unnamed: 0,Unnamed: 1,Unnamed: 2,Reference,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_white_BNC_congreso_GENERIC,GPT_CATEGORY
,,,Spoken context-governed,"so I think erm </s><s> Des describe them why in what way they're not attractive one. </s><s> Well they, they grow from this er green to white to red and then finally black, don't like black berries Stefan so that would be a no no as far as I was concerned in my garden",NOUN,ADJECTIVE,NOUN,"so I think erm </s><s> Des describe them why in what way they're not attractive one. </s><s> Well they, they grow from this er green to white to red and then finally black, don't like black berries Stefan so that would be a no no as far as I was concerned in my garden",white,NOUN,NOUN
,,,Written books and periodicals,"time paused and looked into her eyes. </s><s> 'It is a compliment.' </s><s> 'Then thank you.' </s><s> He smiled, and she thought how even and white his smile was. </s><s> 'Well done, Shelley. </s><s> You have accepted a compliment gracefully, without trying to pretend you don't",ADJECTIVE,ADJECTIVE,ADJECTIVE,"time paused and looked into her eyes. </s><s> 'It is a compliment.' </s><s> 'Then thank you.' </s><s> He smiled, and she thought how even and white his smile was. </s><s> 'Well done, Shelley. </s><s> You have accepted a compliment gracefully, without trying to pretend you don't",white,ADJECTIVE,ADJECTIVE
,,,Written books and periodicals,"troubles. </s><s> 'Such a thing would never enter my head,' he said. </s><s> 'Since Rosie came along I've been lily-white. </s><s> The idea!' </s><s> 'A whited sepulchre,' Mallachy grunted. </s><s> 'Whatever one of them might be.' </s><s> He got out and jerked his bag out after him, from the back",ADJECTIVE,COAT_WITH_WHITE,ADJECTIVE,"troubles. </s><s> 'Such a thing would never enter my head,' he said. </s><s> 'Since Rosie came along I've been lily-white. </s><s> The idea!' </s><s> 'A whited sepulchre,' Mallachy grunted. </s><s> 'Whatever one of them might be.' </s><s> He got out and jerked his bag out after him, from the back",white,ADJECTIVE,ADJECTIVE
,,,Written books and periodicals,"no phone, but I know where she works. </s><s> It's night, it must be night now. </s><s> I bathe and dress, and paste my face in gauzy liquid, whiting out the spots and the sweat. </s><s> I drive to Highbury. </s><s> The Oedipus Bull is a brightly lit pub full of architects and actors,",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"no phone, but I know where she works. </s><s> It's night, it must be night now. </s><s> I bathe and dress, and paste my face in gauzy liquid, whiting out the spots and the sweat. </s><s> I drive to Highbury. </s><s> The Oedipus Bull is a brightly lit pub full of architects and actors,",white,MAKE_WHITE,MAKE_WHITE
,,,Written books and periodicals,"the tomb of Archimedes by </s><s> a circle enclosed inside a cylinder. </s><s> What was lost, then found, was lost again. </s><s> The port was whited marble, an island of ghosts. </s><s> I thought of the lupara bianca, the exact </s><s> diameter lodged in the sawn-off shaft </s><s> then the",ADJECTIVE,COAT_WITH_WHITE,ADJECTIVE,"the tomb of Archimedes by </s><s> a circle enclosed inside a cylinder. </s><s> What was lost, then found, was lost again. </s><s> The port was whited marble, an island of ghosts. </s><s> I thought of the lupara bianca, the exact </s><s> diameter lodged in the sawn-off shaft </s><s> then the",white,ADJECTIVE,ADJECTIVE
,,,Written books and periodicals,"solely for discussing cuisine, a mixture of reverence, excitement, practicality and anticipation. </s><s> 'True, boiled whiting alone is not a dish for a Icing. </s><s> But with the right sauce it might be transformed. </s><s> Who knows? </s><s> This is the infinite",NOUN,NOUN,NOUN,"solely for discussing cuisine, a mixture of reverence, excitement, practicality and anticipation. </s><s> 'True, boiled whiting alone is not a dish for a Icing. </s><s> But with the right sauce it might be transformed. </s><s> Who knows? </s><s> This is the infinite",white,NOUN,NOUN
,,,Written books and periodicals,",' he said sadly, 'but it is eatable. </s><s> You will join us, Inspector?' </s><s> 'Thank you, no,' said Rose hastily. </s><s> 'Not if it's whiting .' </s><s> 'My grandmother says when they're curled up in a circle with their tails in their mouths, that's a symbol of eternity,",NOUN,NOUN,NOUN,",' he said sadly, 'but it is eatable. </s><s> You will join us, Inspector?' </s><s> 'Thank you, no,' said Rose hastily. </s><s> 'Not if it's whiting .' </s><s> 'My grandmother says when they're curled up in a circle with their tails in their mouths, that's a symbol of eternity,",white,NOUN,NOUN
,,,Written books and periodicals,scarred world looks through their gaps. </s><s> I listen </s><s> With bleak eyeholes. </s><s> IV WINO </s><s> Grape is my mulatto mother </s><s> In this frozen whited country. </s><s> Her veined interior </s><s> Hangs hot open for me to re-enter </s><s> The blood-coloured glasshouse against which the stone,ADJECTIVE,MAKE_IDENTITY_WHITE,ADJECTIVE,scarred world looks through their gaps. </s><s> I listen </s><s> With bleak eyeholes. </s><s> IV WINO </s><s> Grape is my mulatto mother </s><s> In this frozen whited country. </s><s> Her veined interior </s><s> Hangs hot open for me to re-enter </s><s> The blood-coloured glasshouse against which the stone,white,ADJECTIVE,ADJECTIVE
,,,Written books and periodicals,"piled up against the water butt, how it lay like a blanket along the sills, how it changed the distance from bluey brown to white as far as you could see. </s><s> Her finger tips turned white as bone, her lips became chapped, and the air was so cold it hurt to",NOUN,ADJECTIVE,ADJECTIVE,"piled up against the water butt, how it lay like a blanket along the sills, how it changed the distance from bluey brown to white as far as you could see. </s><s> Her finger tips turned white as bone, her lips became chapped, and the air was so cold it hurt to",white,NOUN,NOUN
,,,Written books and periodicals,"was here until a minute ago. </s><s> Do sit down. </s><s> I'm just going through my list once more. </s><s> I think I've got everything except whiting for my cat. </s><s> It's usually rock salmon, you know, but I think she's expecting again and whiting must lie less heavily on the",NOUN,NOUN,NOUN,"was here until a minute ago. </s><s> Do sit down. </s><s> I'm just going through my list once more. </s><s> I think I've got everything except whiting for my cat. </s><s> It's usually rock salmon, you know, but I think she's expecting again and whiting must lie less heavily on the",white,NOUN,NOUN
