Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_pink_EHCB_GENERIC,GPT_CATEGORY
1610,,,,"els beside, </s><s> For sweet varietie herselfe did throw </s><s> To euery banke, here all the ground she dide </s><s> In lillie white, there pinks eblazed wide; </s><s> And damask''t all the earth, and here shee shed </s><s> Blew violets, and there came roses red, </s><s> And euery sight the",NOUN,NOUN,NOUN,"els beside, </s><s> For sweet varietie herselfe did throw </s><s> To euery banke, here all the ground she dide </s><s> In lillie white, there pinks eblazed wide; </s><s> And damask''t all the earth, and here shee shed </s><s> Blew violets, and there came roses red, </s><s> And euery sight the",unknown,NOUN,NOUN
1614,,,,"there in one day: then euer I did in London at any time, for at Ostend, Newport, and Dunkirke, where and when the Holland pinks commeth in, there daily the Merchants, that be but women, but not such women as the fishwiues of Billinsgare, for these",NOUN,NOUN,NOUN,"there in one day: then euer I did in London at any time, for at Ostend, Newport, and Dunkirke, where and when the Holland pinks commeth in, there daily the Merchants, that be but women, but not such women as the fishwiues of Billinsgare, for these",unknown,NOUN,NOUN
1587,,,,"in Greeke atrophia opthalmou, in Latin imm tio profunditas macies oculi: Alſo of the litle eyes, co monlie called pinking eies, and in Greek Micropthalmos, in latine paruus oculus. </s><s> Atrophia opthalmou is an affection of the eye when al the",ADJECTIVE,NOUN,NONE,"in Greeke atrophia opthalmou, in Latin imm tio profunditas macies oculi: Alſo of the litle eyes, co monlie called pinking eies, and in Greek Micropthalmos, in latine paruus oculus. </s><s> Atrophia opthalmou is an affection of the eye when al the",unknown,NOUN,NOUN
1599,,,,"suffred quietly to land and water, and diuers of them with their king came aboord our ship in a gowne of crimosine Sattin pinked after the Moorish fashion downe to the knee, whom we entertained in the best maner, and had some conference with him of",ADJECTIVE,ADJECTIVE,ADJECTIVE,"suffred quietly to land and water, and diuers of them with their king came aboord our ship in a gowne of crimosine Sattin pinked after the Moorish fashion downe to the knee, whom we entertained in the best maner, and had some conference with him of",unknown,ADJECTIVE,ADJECTIVE
1597,,,,"which wil soone make thee be one of Terence his parasits: in wounds thou shalt exceed Cass anus which was so pittifully pinked of his own Schollers: & now whilst I am in the hot inuectiue I haue a message to doe to you, the townsmen of Cherrihinton",NONE,ADJECTIVE,NONE,"which wil soone make thee be one of Terence his parasits: in wounds thou shalt exceed Cass anus which was so pittifully pinked of his own Schollers: & now whilst I am in the hot inuectiue I haue a message to doe to you, the townsmen of Cherrihinton",unknown,NONE,NONE
1634,,,,"and composure. </s><s> Both sexe goe naked, a linnen cloth only about their middles, which stiles them modest. </s><s> They vse pinking and cutting their brest and faces; and dilate their eares much, by those massie weights they fixe there. </s><s> Gold and Siluer",NONE,NONE,NONE,"and composure. </s><s> Both sexe goe naked, a linnen cloth only about their middles, which stiles them modest. </s><s> They vse pinking and cutting their brest and faces; and dilate their eares much, by those massie weights they fixe there. </s><s> Gold and Siluer",unknown,NONE,NONE
1608,,,,"by my nose, I neuer spent the least lip labour on mistris Mirable neuer so much as glaunc''d, neuer vs''d any winking or pinking , neuer nodded at her, no not so much as when I was asleep neuer askt her the questiō so much as whats her name, if you can",NONE,NONE,NONE,"by my nose, I neuer spent the least lip labour on mistris Mirable neuer so much as glaunc''d, neuer vs''d any winking or pinking , neuer nodded at her, no not so much as when I was asleep neuer askt her the questiō so much as whats her name, if you can",unknown,NONE,NONE
1567,,,,"vppon his footeclothe, attended vpon as a ſatrapas with a traine of daſhbucklers or ſquaringe toſpottes, and hym ſelfe pinked and razed in thattire of a yonge bridegrome, with hys heare curled by art, fallinge in lockes, as it were by appointment,",NONE,NONE,NONE,"vppon his footeclothe, attended vpon as a ſatrapas with a traine of daſhbucklers or ſquaringe toſpottes, and hym ſelfe pinked and razed in thattire of a yonge bridegrome, with hys heare curled by art, fallinge in lockes, as it were by appointment,",unknown,ADJECTIVE,ADJECTIVE
1576,,,,", & by nature apt & towardly. </s><s> As touching ye outward caſe of their body, they cōmōly breake out, & haue their bodyes pinked ful of ſcabs, & by reasō of ill humours, ouerwhealed & engrayled with lothſome bliſters, blaines,t in growth they",NONE,NONE,NONE,", & by nature apt & towardly. </s><s> As touching ye outward caſe of their body, they cōmōly breake out, & haue their bodyes pinked ful of ſcabs, & by reasō of ill humours, ouerwhealed & engrayled with lothſome bliſters, blaines,t in growth they",unknown,NONE,NONE
1598,,,,"by a Moore, that had a great tooth ſticking in his vpper lip, with a broade knife in his hand, and all his body raſed and pinked as I ſaide before, where he brought them into a houſe among the Moores, wherein were certaine couerlets, made of the",NONE,NONE,NONE,"by a Moore, that had a great tooth ſticking in his vpper lip, with a broade knife in his hand, and all his body raſed and pinked as I ſaide before, where he brought them into a houſe among the Moores, wherein were certaine couerlets, made of the",unknown,NONE,NONE
