Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_redden_COCA_GENERIC,GPT_CATEGORY
67,2012,WEB,...al.library.upenn.edu,"they had no manners, and seized on my hands, which are coarsened, reddened, and swelled from heat and mosquito bites, all exclaiming, "" chanti!",BE(COME)_RED,ADJECTIVE,BE(COME)_RED,"they had no manners, and seized on my hands, which are coarsened, reddened, and swelled from heat and mosquito bites, all exclaiming, "" chanti!",unknown,ADJECTIVE,ADJECTIVE
42,2012,WEB,...al.library.upenn.edu,"in the jungles of the GOLDEN CHERSONESE. # THE snowy dome of Fujisan, reddening in the sunrise, rose above the violet woodlands of Mississippi Bay as we steamed",NOUN,BECOME_RED,BE(COME)_RED,"in the jungles of the GOLDEN CHERSONESE. # THE snowy dome of Fujisan, reddening in the sunrise, rose above the violet woodlands of Mississippi Bay as we steamed",unknown,BE(COME)_RED,BE(COME)_RED
47,2012,WEB,...al.library.upenn.edu,more charming because of it. They powder their faces and have a way of reddening their under lip just at the tip that gives them a most tempting look.,MAKE_RED,MAKE_RED,MAKE_RED,more charming because of it. They powder their faces and have a way of reddening their under lip just at the tip that gives them a most tempting look.,unknown,MAKE_RED,MAKE_RED
23,2012,WEB,...al.library.upenn.edu,"teeth of both sexes are blackened by the constant chewing of the betel-nut, which reddens the saliva, which is constantly flowing like blood from the corners of their mouths",MAKE_RED,MAKE_RED,MAKE_RED,"teeth of both sexes are blackened by the constant chewing of the betel-nut, which reddens the saliva, which is constantly flowing like blood from the corners of their mouths",unknown,MAKE_RED,MAKE_RED
26,2012,BLOG,...al.library.upenn.edu,"pigs from this distance. At the last moment the sun flames out gloriously; reddens all the heavens, and gilds a rippling road for me across the waterly world",EMIT_LIGHT,MAKE_RED,MAKE_RED,"pigs from this distance. At the last moment the sun flames out gloriously; reddens all the heavens, and gilds a rippling road for me across the waterly world",unknown,BE(COME)_RED,BE(COME)_RED
80,2012,WEB,...eanhistory.about.com,"One famous tale concerns Charlotte Corday, the killer of Marat, whose cheek supposedly reddened after the executioner slapped it even though, at that point, she was just",BLUSH,BLUSH,BLUSH,"One famous tale concerns Charlotte Corday, the killer of Marat, whose cheek supposedly reddened after the executioner slapped it even though, at that point, she was just",unknown,BLUSH,BLUSH
27,2012,BLOG,...erville.blogspot.com,. # Another often criticized POV' error' is when the pov's face reddens. Sure they can't see it but we know they can feel it.,BLUSH,BLUSH,BLUSH,. # Another often criticized POV' error' is when the pov's face reddens. Sure they can't see it but we know they can feel it.,unknown,BLUSH,BLUSH
94,2012,BLOG,...lend.firedoglake.com,"a boy. I am a girl. I am transgender. "" My face reddened, and tears blurred my vision. I braced myself for her rejection and the",BLUSH,BLUSH,BLUSH,"a boy. I am a girl. I am transgender. "" My face reddened, and tears blurred my vision. I braced myself for her rejection and the",unknown,BLUSH,BLUSH
78,2012,WEB,...mongoose.populli.net,"Blair was there. But with his senses, that was impossible. His cheeks reddened slightly. "" You're probably right, but I want to get it as",BLUSH,BLUSH,BLUSH,"Blair was there. But with his senses, that was impossible. His cheeks reddened slightly. "" You're probably right, but I want to get it as",unknown,BLUSH,BLUSH
48,2012,WEB,...mongoose.populli.net,"daddy, too. "" # "" Tara, "" Lisa scolded, her face reddening. # The girl didn't seem to be fazed by her faux pas and",BLUSH,BLUSH,BLUSH,"daddy, too. "" # "" Tara, "" Lisa scolded, her face reddening. # The girl didn't seem to be fazed by her faux pas and",unknown,BLUSH,BLUSH
15,2019,ACAD,...n of Medical and Dental Sciences,"from zero to four as follows: A painless nipple = 0, a slightly reddened nipple =1, a reddened nipple with pain = 2, a nipple beginning to",ADJECTIVE,ADJECTIVE,ADJECTIVE,"from zero to four as follows: A painless nipple = 0, a slightly reddened nipple =1, a reddened nipple with pain = 2, a nipple beginning to",unknown,ADJECTIVE,ADJECTIVE
85,2012,WEB,...nline-literature.com,"# "" The dawn was close upon me: and as soon as the sky reddened I took my bath, dressed and went downstairs. And there at the pantry",EMIT_LIGHT,BECOME_RED,BE(COME)_RED,"# "" The dawn was close upon me: and as soon as the sky reddened I took my bath, dressed and went downstairs. And there at the pantry",unknown,BE(COME)_RED,BE(COME)_RED
92,2012,BLOG,...tamper.wordpress.com,"to steel or a musical note); yellow (paper does); but redden? Blacken, but black when referring to eyes or veto on strike-breaking goods (",MAKE_RED,NONE,NONE,"to steel or a musical note); yellow (paper does); but redden? Blacken, but black when referring to eyes or veto on strike-breaking goods (",unknown,NONE,NONE
56,2012,BLOG,...theamericandream.com,"let them in the school. # Christine # The solution, in addition to reddening those brats' backsides, is to throw them off the bus. Make it",MAKE_RED,MAKE_RED,MAKE_RED,"let them in the school. # Christine # The solution, in addition to reddening those brats' backsides, is to throw them off the bus. Make it",unknown,MAKE_RED,MAKE_RED
89,2012,WEB,...txgreener.tumblr.com,"a boy. I am a girl. I am transgender. "" My face reddened, and tears blurred my vision. I braced myself for her rejection and the",REPEATED,REPEATED,REPEATED,"a boy. I am a girl. I am transgender. "" My face reddened, and tears blurred my vision. I braced myself for her rejection and the",unknown,BLUSH,BLUSH
53,2012,WEB,...ums.penny-arcade.com,than that bleached white lolsubmarinelol look I was sporting. # Sunburn -- the skin reddening caused by overexposure to the sun's harmful ultraviolet (UV) radiation -- may,NOUN,NOUN,NOUN,than that bleached white lolsubmarinelol look I was sporting. # Sunburn -- the skin reddening caused by overexposure to the sun's harmful ultraviolet (UV) radiation -- may,unknown,NOUN,NOUN
97,2012,BLOG,...wlerobs.blogspot.com,"sentence back then -- but hearing that Friday liked something I had written made me redden with pleasure. # Later, when working for UNC's student newspaper, I",BLUSH,BLUSH,BLUSH,"sentence back then -- but hearing that Friday liked something I had written made me redden with pleasure. # Later, when working for UNC's student newspaper, I",unknown,BLUSH,BLUSH
206,1998,SPOK,ABC_GMA,"see when you walk into the exhibition is this desk that changed history. DAVID REDDEN, Executive Vice President, Sotheby's: Well, it's the desk on",NOUN,NOUN,NOUN,"see when you walk into the exhibition is this desk that changed history. DAVID REDDEN, Executive Vice President, Sotheby's: Well, it's the desk on",unknown,NONE,NONE
207,1998,SPOK,ABC_GMA,"10th, 1936. LISA McREE: How much will it go for? DAVID REDDEN: Well, the estimate's $30,000 to $50,000. Could bring a bit more",NOUN,NOUN,NOUN,"10th, 1936. LISA McREE: How much will it go for? DAVID REDDEN: Well, the estimate's $30,000 to $50,000. Could bring a bit more",unknown,NONE,NONE
208,1998,SPOK,ABC_GMA,"a private citizen? Shouldn't it be in a museum in England? DAVID REDDEN: Oh, it would be wonderful in a museum. It really would be",NOUN,NOUN,NOUN,"a private citizen? Shouldn't it be in a museum in England? DAVID REDDEN: Oh, it would be wonderful in a museum. It really would be",unknown,NONE,NONE
209,1998,SPOK,ABC_GMA,"yes. LISA McREE: Let's see the rest of the house. DAVID REDDEN: Yes, yes, let's go to have a look at the salon",NOUN,NOUN,NOUN,"yes. LISA McREE: Let's see the rest of the house. DAVID REDDEN: Yes, yes, let's go to have a look at the salon",unknown,NONE,NONE
210,1998,SPOK,ABC_GMA,", settees, tables. What is this painting? This looks magnificent. DAVID REDDEN: This is one of the great works of art on sale. It's",NOUN,NOUN,NOUN,", settees, tables. What is this painting? This looks magnificent. DAVID REDDEN: This is one of the great works of art on sale. It's",unknown,NONE,NONE
211,1998,SPOK,ABC_GMA,", $600,000 to $800,000. LISA McREE: Could it go for more? DAVID REDDEN: Conceivably. This is the dining room. We've laid out the table",NOUN,NOUN,NOUN,", $600,000 to $800,000. LISA McREE: Could it go for more? DAVID REDDEN: Conceivably. This is the dining room. We've laid out the table",unknown,NONE,NONE
212,1998,SPOK,ABC_GMA,some of the servants who are standing over here. How many servants... DAVID REDDEN: Numerous. LISA McREE:... did they have? DAVID REDDEN: Well,NOUN,NOUN,NOUN,some of the servants who are standing over here. How many servants... DAVID REDDEN: Numerous. LISA McREE:... did they have? DAVID REDDEN: Well,unknown,NONE,NONE
213,1998,SPOK,ABC_GMA,"... DAVID REDDEN: Numerous. LISA McREE:... did they have? DAVID REDDEN: Well, they had a total of 31 in staff, about 18 indoors",NOUN,NOUN,NOUN,"... DAVID REDDEN: Numerous. LISA McREE:... did they have? DAVID REDDEN: Well, they had a total of 31 in staff, about 18 indoors",unknown,NONE,NONE
214,1998,SPOK,ABC_GMA,"McREE: Tell me about her clothes. How many outfits are here? DAVID REDDEN: Well, there are about 50 or 60. LISA McREE: Now,",NOUN,NOUN,NOUN,"McREE: Tell me about her clothes. How many outfits are here? DAVID REDDEN: Well, there are about 50 or 60. LISA McREE: Now,",unknown,NONE,NONE
215,1998,SPOK,ABC_GMA,"was she an important person in fashion? Did she define a style? DAVID REDDEN: Well, a very austere style. I mean, she was always one",NOUN,NOUN,NOUN,"was she an important person in fashion? Did she define a style? DAVID REDDEN: Well, a very austere style. I mean, she was always one",unknown,NONE,NONE
