Reference,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_white_EHCB_GENERIC,GPT_CATEGORY
1577,,,,"cleane remoued, euen vnto the foundation, and the place where they stoode, paued, and the wall wherevnto they ioyned, whited ouer, and made vniforme with the rest, so as no breach or rupture appeare? </s><s> And whether your Roodloftes be taken downe,",COAT_WITH_WHITE,COAT_WITH_WHITE,COAT_WITH_WHITE,"cleane remoued, euen vnto the foundation, and the place where they stoode, paued, and the wall wherevnto they ioyned, whited ouer, and made vniforme with the rest, so as no breach or rupture appeare? </s><s> And whether your Roodloftes be taken downe,",white,COAT_WITH_WHITE,COAT_WITH_WHITE
1616,,,,"and bright, </s><s> To stay the Canker of the Teeth, </s><s> To take away the stinking of the Mouth, </s><s> For the stinking of the Teeth, </s><s> To white and take the wrinkles out of the Hands, </s><s> For the Cough, take Hysope and Folefoot, </s><s> For the Squinancie,Carduus Benedictus",MAKE_WHITE,COAT_WITH_WHITE,MAKE_WHITE,"and bright, </s><s> To stay the Canker of the Teeth, </s><s> To take away the stinking of the Mouth, </s><s> For the stinking of the Teeth, </s><s> To white and take the wrinkles out of the Hands, </s><s> For the Cough, take Hysope and Folefoot, </s><s> For the Squinancie,Carduus Benedictus",white,MAKE_WHITE,MAKE_WHITE
1616,,,,"from the frost, 606. their diseases, and remedies thereof. 607 </s><s> he blacke Vine plant, 600. foure kinds of it. ibid. </s><s> he white Vine plant, and the kinds thereof. 601 </s><s> he husbandrie of the Vine, both young and old, and their sundrie earings. 602 </s><s> he",ADJECTIVE,ADJECTIVE,ADJECTIVE,"from the frost, 606. their diseases, and remedies thereof. 607 </s><s> he blacke Vine plant, 600. foure kinds of it. ibid. </s><s> he white Vine plant, and the kinds thereof. 601 </s><s> he husbandrie of the Vine, both young and old, and their sundrie earings. 602 </s><s> he",white,ADJECTIVE,ADJECTIVE
1615,,,,"opera tenebrarum, the workes of darknesse: And then, if you will, let this mansion be outwardly pargetted, and whited ouer. </s><s> Make they shew of hauing the Holy Ghost on Sundaies, so they retaine the foule deuill all the weeke. </s><s> These are they,",COAT_WITH_WHITE,COAT_WITH_WHITE,COAT_WITH_WHITE,"opera tenebrarum, the workes of darknesse: And then, if you will, let this mansion be outwardly pargetted, and whited ouer. </s><s> Make they shew of hauing the Holy Ghost on Sundaies, so they retaine the foule deuill all the weeke. </s><s> These are they,",white,COAT_WITH_WHITE,COAT_WITH_WHITE
1623,,,,"ſon Feu. </s><s> Bathe there bright Beauties: Honors Paradiſe </s><s> To thoſe high Mountaines well may you entiſe. </s><s> Mountaines all whited with eternall Snowe </s><s> Flancke the one part; Immortall verdures flowe, </s><s> Vpon a Plaine, that''s louely Beauties pride: </s><s> The",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"ſon Feu. </s><s> Bathe there bright Beauties: Honors Paradiſe </s><s> To thoſe high Mountaines well may you entiſe. </s><s> Mountaines all whited with eternall Snowe </s><s> Flancke the one part; Immortall verdures flowe, </s><s> Vpon a Plaine, that''s louely Beauties pride: </s><s> The",white,ADJECTIVE,ADJECTIVE
1559,,,,"whiche are commaunded Chriſtianes ſo doe (which in our religion muſt neades be done onles we </s><s> Certainlie it maye well be a whited toumbe ſet furth with colours to delite the beholders: but it ſhalbe no commō weale truely inſtitute, as in which thoſe",ADJECTIVE,COAT_WITH_WHITE,ADJECTIVE,"whiche are commaunded Chriſtianes ſo doe (which in our religion muſt neades be done onles we </s><s> Certainlie it maye well be a whited toumbe ſet furth with colours to delite the beholders: but it ſhalbe no commō weale truely inſtitute, as in which thoſe",white,ADJECTIVE,ADJECTIVE
1605,,,,they seeme to cary the name of the Church of Christ. </s><s> For (as the same S. Austen saith in another place) heretiques are only whited ouer with the name of Christians.Si haeretici sunt (as Tertullian saith) Christiani esse non possunt. </s><s> If they be,CONCEAL,MAKE_PURE,MAKE_PURE,they seeme to cary the name of the Church of Christ. </s><s> For (as the same S. Austen saith in another place) heretiques are only whited ouer with the name of Christians.Si haeretici sunt (as Tertullian saith) Christiani esse non possunt. </s><s> If they be,white,CONCEAL,CONCEAL
1614,,,,"doe no good to purge thy soule, thou wilt at last dwell at the signe of the labour in vaine, and at once be wash''d white with the Moore. </s><s> For, if any will be vniust, let him be vniust: if he will be filthy, let him be filthy still. </s><s> If any man will",ADJECTIVE,ADJECTIVE,ADJECTIVE,"doe no good to purge thy soule, thou wilt at last dwell at the signe of the labour in vaine, and at once be wash''d white with the Moore. </s><s> For, if any will be vniust, let him be vniust: if he will be filthy, let him be filthy still. </s><s> If any man will",white,MAKE_PURE,MAKE_PURE
1576,,,,"sion?) in saying that the one halfe of his sorrowe is diminished, if his freend be merrie. </s><s> NOt Amasis doubtlesse, (who whites he shewed himself very loathe to lament the calamitie of Polycrates, to whome he wished happinesse) sent vnto him an",NONE,NONE,NONE,"sion?) in saying that the one halfe of his sorrowe is diminished, if his freend be merrie. </s><s> NOt Amasis doubtlesse, (who whites he shewed himself very loathe to lament the calamitie of Polycrates, to whome he wished happinesse) sent vnto him an",white,VERB,ADJECTIVE
1595,,,,"image, though it be ſet vpon an high mountaine, </s><s> EVen as a cloud darkeneth the aire, and couereth the ſunne: </s><s> AS a wall all whited on the out ſide, is not eaſily perceiued, </s><s> AS thoſe things which agrée not with our nature, and haue </s><s> EVen as the bough of a",COAT_WITH_WHITE,COAT_WITH_WHITE,COAT_WITH_WHITE,"image, though it be ſet vpon an high mountaine, </s><s> EVen as a cloud darkeneth the aire, and couereth the ſunne: </s><s> AS a wall all whited on the out ſide, is not eaſily perceiued, </s><s> AS thoſe things which agrée not with our nature, and haue </s><s> EVen as the bough of a",white,ADJECTIVE,ADJECTIVE
1632,,,,"a Brother, and heire with Christ, and to apply a name appropriate to Gods Saints unto such, as they esteeme no better then whited tombes, and painted sepulchers. </s><s> And because folly is the especiall object of contempt, they are come to that height of",COAT_WITH_WHITE,COAT_WITH_WHITE,COAT_WITH_WHITE,"a Brother, and heire with Christ, and to apply a name appropriate to Gods Saints unto such, as they esteeme no better then whited tombes, and painted sepulchers. </s><s> And because folly is the especiall object of contempt, they are come to that height of",white,CONCEAL,CONCEAL
1598,,,,"of minde: drerie. </s><s> Afare? </s><s> Afare ſia, nay, if it be ſo? do your worſt, I care not for you. </s><s> Affare, as Confare. </s><s> Affarinare, to white with flower or meale. </s><s> Affarſi, to beſeeme, to be ſeemely, to be conuenient, to agree with. </s><s> Affaſciare, to ſwathe, to",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"of minde: drerie. </s><s> Afare? </s><s> Afare ſia, nay, if it be ſo? do your worſt, I care not for you. </s><s> Affare, as Confare. </s><s> Affarinare, to white with flower or meale. </s><s> Affarſi, to beſeeme, to be ſeemely, to be conuenient, to agree with. </s><s> Affaſciare, to ſwathe, to",white,MAKE_WHITE,MAKE_WHITE
1598,,,,"vndeſired. </s><s> Ingeríto, brought, carried, put or brought in, throwen or caste downe, preſſed into. </s><s> Ingeſſare, to white with chalke, to chalke. </s><s> Inghiottire, tiſco, tito, to englut, to glut, to ſwallow, to deuour. </s><s> Inghiottonare, to become",COAT_WITH_WHITE,COAT_WITH_WHITE,COAT_WITH_WHITE,"vndeſired. </s><s> Ingeríto, brought, carried, put or brought in, throwen or caste downe, preſſed into. </s><s> Ingeſſare, to white with chalke, to chalke. </s><s> Inghiottire, tiſco, tito, to englut, to glut, to ſwallow, to deuour. </s><s> Inghiottonare, to become",white,MAKE_WHITE,MAKE_WHITE
