Unnamed: 0,Unnamed: 1,Unnamed: 2,Reference,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_whiten_BNC_congreso_GENERIC,GPT_CATEGORY
,,,Written books and periodicals,"two names on it. </s><s> Sophie, my dear, it's a veterinary practice. </s><s> Two men – R. H. Sheldrake and I. C. Woodall.' </s><s> Sophie's face whitened and Joanna sat rigid with shock as Helen continued, 'It's awful, isn't it? </s><s> I was shaken to the core at first, then Betty –",BE(COME)_PALE,BE(COME)_PALE,BE(COME)_PALE,"two names on it. </s><s> Sophie, my dear, it's a veterinary practice. </s><s> Two men – R. H. Sheldrake and I. C. Woodall.' </s><s> Sophie's face whitened and Joanna sat rigid with shock as Helen continued, 'It's awful, isn't it? </s><s> I was shaken to the core at first, then Betty –",white,BE(COME)_PALE,BE(COME)_PALE
,,,Written books and periodicals,"morning,' she said huskily. </s><s> He nodded, eyes narrowing. </s><s> 'Just make sure you're never alone with the bastard.' </s><s> She whitened , appalled. </s><s> 'You don't think he'd try to –' </s><s> 'Seduce you?' </s><s> Jamie's voice was grim. </s><s> 'It's the smart move, Rachel. </s><s> You're",BE(COME)_PALE,BE(COME)_PALE,BE(COME)_PALE,"morning,' she said huskily. </s><s> He nodded, eyes narrowing. </s><s> 'Just make sure you're never alone with the bastard.' </s><s> She whitened , appalled. </s><s> 'You don't think he'd try to –' </s><s> 'Seduce you?' </s><s> Jamie's voice was grim. </s><s> 'It's the smart move, Rachel. </s><s> You're",white,BE(COME)_PALE,BE(COME)_PALE
,,,Written books and periodicals,"child into the cot, not taking her eyes from her exquisite face, Ruth stood gripping the sides of the cot with fingers whitened in an attempt at stopping them shaking. </s><s> Tears rivered down Ruth's face till she could see no longer. </s><s> This was Maria",BE(COME)_PALE,BE(COME)_PALE,BE(COME)_PALE,"child into the cot, not taking her eyes from her exquisite face, Ruth stood gripping the sides of the cot with fingers whitened in an attempt at stopping them shaking. </s><s> Tears rivered down Ruth's face till she could see no longer. </s><s> This was Maria",white,BE(COME)_PALE,BE(COME)_PALE
,,,Written books and periodicals,"it is used as part of a structure or decoration, a tiny amount only of acetic acid or cream of tartar could be added. </s><s> To whiten and add elasticity to icing for piping purposes, a squeeze of lemon juice is used. </s><s> When making royal icing, ensure that",BLEACH,MAKE_WHITE,BLEACH,"it is used as part of a structure or decoration, a tiny amount only of acetic acid or cream of tartar could be added. </s><s> To whiten and add elasticity to icing for piping purposes, a squeeze of lemon juice is used. </s><s> When making royal icing, ensure that",white,BLEACH,BLEACH
,,,Written books and periodicals,"a moment on the latter. </s><s> He sounded even more angry, even more unfriendly. </s><s> Robyn gripped the fountain until her knuckles whitened and spoke with a great deal of effort, concentrating on forming her words so that they didn't sound slurred. </s><s> 'I dropped",BE(COME)_PALE,BE(COME)_PALE,BE(COME)_PALE,"a moment on the latter. </s><s> He sounded even more angry, even more unfriendly. </s><s> Robyn gripped the fountain until her knuckles whitened and spoke with a great deal of effort, concentrating on forming her words so that they didn't sound slurred. </s><s> 'I dropped",white,BE(COME)_PALE,BE(COME)_PALE
,,,Written books and periodicals,"it? </s><s> It happened, but it... it wasn't meant to!' </s><s> She moved blindly to the door, gripping the handle until her knuckles whitened . </s><s> She knew she was handling this badly, acting like a fool, making a scene because she couldn't face the pretence, could",BE(COME)_PALE,BE(COME)_PALE,BE(COME)_PALE,"it? </s><s> It happened, but it... it wasn't meant to!' </s><s> She moved blindly to the door, gripping the handle until her knuckles whitened . </s><s> She knew she was handling this badly, acting like a fool, making a scene because she couldn't face the pretence, could",white,BE(COME)_PALE,BE(COME)_PALE
,,,Written books and periodicals,"a successful contest of the will? </s><s> I had not heard of it?' </s><s> 'No, I have not. </s><s> But I don't need to, Madam Harlot!' </s><s> Theda's lips whitened , but she gave no other sign of the distress this label caused her. </s><s> 'You are very free with your assumptions, and your –",BE(COME)_PALE,BE(COME)_PALE,BE(COME)_PALE,"a successful contest of the will? </s><s> I had not heard of it?' </s><s> 'No, I have not. </s><s> But I don't need to, Madam Harlot!' </s><s> Theda's lips whitened , but she gave no other sign of the distress this label caused her. </s><s> 'You are very free with your assumptions, and your –",white,BE(COME)_PALE,BE(COME)_PALE
,,,Written books and periodicals,". </s><s> Matey might not work so hard as McAllister did, or perform such menial tasks, like scrubbing the kitchen floor and whitening the front doorstep – which was next on McAllister's list of duties – but she did her share and was never idle, even in her",MAKE_WHITE,COAT_WITH_WHITE,COAT_WITH_WHITE,". </s><s> Matey might not work so hard as McAllister did, or perform such menial tasks, like scrubbing the kitchen floor and whitening the front doorstep – which was next on McAllister's list of duties – but she did her share and was never idle, even in her",white,COAT_WITH_WHITE,COAT_WITH_WHITE
,,,Written books and periodicals,white </s><s> The Nigerian government is fighting an uphill battle to discourage its people from using 'beauty' aids which whiten the skin. </s><s> Although 34 medicinal soaps and creams which contain bleaching agents such as mercury compounds have been,MAKE_WHITE,BLEACH,BLEACH,white </s><s> The Nigerian government is fighting an uphill battle to discourage its people from using 'beauty' aids which whiten the skin. </s><s> Although 34 medicinal soaps and creams which contain bleaching agents such as mercury compounds have been,white,BLEACH,BLEACH
,,,Written books and periodicals,then they'd throw you to whatever man happened to be passing for the money you'd earn for them.' </s><s> Isabel knew her face had whitened ; the pictures conjured up by Ellen's speech awakened all her most terrifying memories. </s><s> But if she let fitzAlan carry,BE(COME)_PALE,BE(COME)_PALE,BE(COME)_PALE,then they'd throw you to whatever man happened to be passing for the money you'd earn for them.' </s><s> Isabel knew her face had whitened ; the pictures conjured up by Ellen's speech awakened all her most terrifying memories. </s><s> But if she let fitzAlan carry,white,BE(COME)_PALE,BE(COME)_PALE
