Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,Unnamed: 8,concatenated_text,palabra,annotations_gpt-4.1-mini_whiten_COHA_GENERIC,GPT_CATEGORY
11,1834,NF/ACAD,...ographyMa-ka-tai-me-she-kia-kiak,"  the Great Spirit. These jewels are from an old man, whose head is whitened with the snows of seventy winters, an old man who has thrown down his",COAT_WITH_WHITE,COAT_WITH_WHITE,COAT_WITH_WHITE,,"  the Great Spirit. These jewels are from an old man, whose head is whitened with the snows of seventy winters, an old man who has thrown down his",white,BE(COME)_WHITE,BE(COME)_WHITE
8,1835,FIC,[PoemsIn]TheRosary,"  rolls on, the feathery billows curl -- Unmindful how beneath their spray, all whitening in the deep, The bones of the young and old are strewn, where",NOUN,BE(COME)_WHITE,BE(COME)_WHITE,,"  rolls on, the feathery billows curl -- Unmindful how beneath their spray, all whitening in the deep, The bones of the young and old are strewn, where",white,BE(COME)_WHITE,BE(COME)_WHITE
184,1999,TV/MOV,3rd Rock from the Sun,"  ? what do you make? we Proved him/it in marvelously the cardinality purgative of whitening substance. have care scud. this, this, this, this. this",ADJECTIVE,ADJECTIVE,ADJECTIVE,,"  ? what do you make? we Proved him/it in marvelously the cardinality purgative of whitening substance. have care scud. this, this, this, this. this",white,NOUN,NOUN
143,1871,FIC,AdmetusOtherPoems,"  Faithfully, truly as I love you? "" The little lass reddened, and whitened, and smiled, And answered him with her clear eyes of blue. """,BE(COME)_PALE,BE(COME)_PALE,BE(COME)_PALE,,"  Faithfully, truly as I love you? "" The little lass reddened, and whitened, and smiled, And answered him with her clear eyes of blue. """,white,BE(COME)_PALE,BE(COME)_PALE
172,1877,FIC,AdriftInIce-Fields,"  close copse of young firs and elders, in whose midst a huge stump, whitened and splintered, rose some twenty-five feet into the air. Peter groaned audibly.",COAT_WITH_WHITE,ADJECTIVE,ADJECTIVE,,"  close copse of young firs and elders, in whose midst a huge stump, whitened and splintered, rose some twenty-five feet into the air. Peter groaned audibly.",white,ADJECTIVE,ADJECTIVE
167,1875,NF/ACAD,AdventuresChevalier,"  often beat upon them. The ground, alternately thawing and freezing, was frequently whitened with snow. And still these heroic men, with chivalry never surpassed in the",COAT_WITH_WHITE,COAT_WITH_WHITE,COAT_WITH_WHITE,,"  often beat upon them. The ground, alternately thawing and freezing, was frequently whitened with snow. And still these heroic men, with chivalry never surpassed in the",white,COAT_WITH_WHITE,COAT_WITH_WHITE
168,1875,NF/ACAD,AdventuresChevalier,"  was frozen hard. Ice fringed the stream, and the flat marshy expanse was whitened with snow. For nearly a hundred miles the sluggish Kankakee flowed through a morass",COAT_WITH_WHITE,COAT_WITH_WHITE,COAT_WITH_WHITE,,"  was frozen hard. Ice fringed the stream, and the flat marshy expanse was whitened with snow. For nearly a hundred miles the sluggish Kankakee flowed through a morass",white,COAT_WITH_WHITE,COAT_WITH_WHITE
77,1871,NF/ACAD,AdventuresYoung,"  sugar-loaves! "" he cried. "" Quite the contrary; they are going to whiten it. The water that is contained in the clay will filter gradually through the",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,"o his great surprise, our little traveller saw them filling up, with a dark-colored liquid, the empty part of the moulds, from which the molasses had drained away. "" They are spoiling the sugar-loaves! "" he cried. "" Quite the contrary; they are going to whiten it. The water that is contained in the clay will filter gradually through the sugar, and will drive before it the molasses that is left round the crystals; and this operation, several times repeated, will produce that spongy kind of sugar which is well known to retain a flavor of the cane, rather disliked by Europeans accustomed to the finer products of their refineries.","  sugar-loaves! "" he cried. "" Quite the contrary; they are going to whiten it. The water that is contained in the clay will filter gradually through the",white,MAKE_WHITE,MAKE_WHITE
105,1898,NF/ACAD,AgeFable,"  of their course was passed, as night drew on, the sea began to whiten with swelling waves, and the east wind to blow a gale. The master",BE(COME)_WHITE,BE(COME)_WHITE,BE(COME)_WHITE,,"  of their course was passed, as night drew on, the sea began to whiten with swelling waves, and the east wind to blow a gale. The master",white,BE(COME)_WHITE,BE(COME)_WHITE
447,1968,FIC,Airport,"  woods: injured birds they had vainly nursed, dime-store turtles that had softened and whitened and died, a kitten slammed in a screen door, a chipmunk torn from",BE(COME)_WHITE,BE(COME)_PALE,BE(COME)_WHITE,,"  woods: injured birds they had vainly nursed, dime-store turtles that had softened and whitened and died, a kitten slammed in a screen door, a chipmunk torn from",white,BE(COME)_WHITE,BE(COME)_WHITE
