Reference,Unnamed: 1,Unnamed: 2,Unnamed: 3,Concordance,CL_PREMOD_ADJ,CF_PREMOD_ADJ,HUMAN,concatenated_text,palabra,annotations_gpt-4.1-mini_whiten_EHCB_GENERIC,GPT_CATEGORY
1615,,,,"of water purge off the inueterate foulenesse and corruption of the flesh? </s><s> There is required much rensing to whiten a defiled soule. </s><s> How peruerse is their course and thought, that imagine, they may repent more in an houre, then they",MAKE_PURE,MAKE_PURE,MAKE_PURE,"of water purge off the inueterate foulenesse and corruption of the flesh? </s><s> There is required much rensing to whiten a defiled soule. </s><s> How peruerse is their course and thought, that imagine, they may repent more in an houre, then they",white,MAKE_PURE,MAKE_PURE
1615,,,,", should be made Iusti per homicidium; and that the bloud, which was scarce washed from their guilty hands, should now whiten their consciences. </s><s> Like that impostum''d Souldior; the blow that was thought to haue kill''d him, cur''d him. </s><s> 3. </s><s> For his",MAKE_PURE,MAKE_WHITE,MAKE_PURE,", should be made Iusti per homicidium; and that the bloud, which was scarce washed from their guilty hands, should now whiten their consciences. </s><s> Like that impostum''d Souldior; the blow that was thought to haue kill''d him, cur''d him. </s><s> 3. </s><s> For his",white,MAKE_PURE,MAKE_PURE
1638,,,,"his Body, and the Wine his Blood and price of our Redemption. </s><s> With this one brush reached unto me by Saint Austin, I might whiten all the walls you point unto: yet partly out of respect to your selfe, but especially to S. Austin, I will take speciall",COAT_WITH_WHITE,MAKE_WHITE,COAT_WITH_WHITE,"his Body, and the Wine his Blood and price of our Redemption. </s><s> With this one brush reached unto me by Saint Austin, I might whiten all the walls you point unto: yet partly out of respect to your selfe, but especially to S. Austin, I will take speciall",white,COAT_WITH_WHITE,COAT_WITH_WHITE
1598,,,,", Iſe-ſickles. </s><s> Candidare, to whitten, to blanch, to purifie, to candie. </s><s> Candidato, clothed in white, bleached, whitened . </s><s> Alſo ſuch a one as stands or ſues for an office, and is like to ſpeede. </s><s> Candidezza, whitenes, puritie, vnſpottednes. </s>",ADJECTIVE,ADJECTIVE,ADJECTIVE,", Iſe-ſickles. </s><s> Candidare, to whitten, to blanch, to purifie, to candie. </s><s> Candidato, clothed in white, bleached, whitened . </s><s> Alſo ſuch a one as stands or ſues for an office, and is like to ſpeede. </s><s> Candidezza, whitenes, puritie, vnſpottednes. </s>",white,MAKE_PURE,MAKE_PURE
1598,,,,", to paint with ceruſe or white lead. </s><s> Imbiaccamento, a whitning, a blanching or a waſhing white. </s><s> Inbiancare, to whiten , to blanch, to waſh white, to become pale or wan. </s><s> Imbiancheggiare, as Imbiancare. </s><s> Imbianchire, chiſco, chito, as",BLEACH,MAKE_WHITE,MAKE_WHITE,", to paint with ceruſe or white lead. </s><s> Imbiaccamento, a whitning, a blanching or a waſhing white. </s><s> Inbiancare, to whiten , to blanch, to waſh white, to become pale or wan. </s><s> Imbiancheggiare, as Imbiancare. </s><s> Imbianchire, chiſco, chito, as",white,COAT_WITH_WHITE,COAT_WITH_WHITE
1598,,,,", to become pale or wan. </s><s> Imbiancheggiare, as Imbiancare. </s><s> Imbianchire, chiſco, chito, as Imbiancare. </s><s> Imbianchito, whitened or become pale or wan. </s><s> Imbiondire, diſco, dito, to make yellow or of a golden colour. </s><s> Imbizzarire, riſco, rito, to",ADJECTIVE,ADJECTIVE,ADJECTIVE,", to become pale or wan. </s><s> Imbiancheggiare, as Imbiancare. </s><s> Imbianchire, chiſco, chito, as Imbiancare. </s><s> Imbianchito, whitened or become pale or wan. </s><s> Imbiondire, diſco, dito, to make yellow or of a golden colour. </s><s> Imbizzarire, riſco, rito, to",white,BE(COME)_PALE,BE(COME)_PALE
1598,,,,", not moued, not toſſed. </s><s> Inagnellarſi, to become a lambe or like a lambe, to become milde and gentle. </s><s> Inalbare, to whiten or make white. </s><s> Inalberare, to climbe vpon a tree. </s><s> Alſo a word about alchimie, to put into a limbike. </s><s> Alſo to furniſh with",MAKE_WHITE,MAKE_WHITE,MAKE_WHITE,", not moued, not toſſed. </s><s> Inagnellarſi, to become a lambe or like a lambe, to become milde and gentle. </s><s> Inalbare, to whiten or make white. </s><s> Inalberare, to climbe vpon a tree. </s><s> Alſo a word about alchimie, to put into a limbike. </s><s> Alſo to furniſh with",white,MAKE_WHITE,MAKE_WHITE
1598,,,,"lockes of haire curled or buſhie. </s><s> Alſo to make the haire on the head curled. </s><s> Inzeppare, to fill brim full. </s><s> Inzeſſare, to whiten or colour with chalke, to chalke. </s><s> Inzoppare, to become or make one to halt or to cripple. </s><s> Inzuccherare, to ſugar, to",COAT_WITH_WHITE,COAT_WITH_WHITE,COAT_WITH_WHITE,"lockes of haire curled or buſhie. </s><s> Alſo to make the haire on the head curled. </s><s> Inzeppare, to fill brim full. </s><s> Inzeſſare, to whiten or colour with chalke, to chalke. </s><s> Inzoppare, to become or make one to halt or to cripple. </s><s> Inzuccherare, to ſugar, to",white,COAT_WITH_WHITE,COAT_WITH_WHITE
1598,,,,"<s> Alſo an azure or bright skie colour. </s><s> Sbiagio, Sbiaſo, byas, ſideline, aſlope, awry, bending wiſe. </s><s> Sbiancheggiare, to whiten , or bedaube with white. </s><s> Sbiancido, pale, wan, whitiſh, leaden colour. </s><s> Alſo ſtraw-colour. </s><s> Sbiauare, as Sbiadare. </s>",COAT_WITH_WHITE,COAT_WITH_WHITE,COAT_WITH_WHITE,"<s> Alſo an azure or bright skie colour. </s><s> Sbiagio, Sbiaſo, byas, ſideline, aſlope, awry, bending wiſe. </s><s> Sbiancheggiare, to whiten , or bedaube with white. </s><s> Sbiancido, pale, wan, whitiſh, leaden colour. </s><s> Alſo ſtraw-colour. </s><s> Sbiauare, as Sbiadare. </s>",white,COAT_WITH_WHITE,COAT_WITH_WHITE
1615,,,,"this swarthinesse, by the continuall tanning of vnceased sinnes. </s><s> We haue no nitre of our owne virtuall, enough to whiten vs. Iob had no water of snow, nor Dauid of Hysope, nor had the poole of Bethesda, though stirred with a thousand Angels,",MAKE_PURE,MAKE_PURE,MAKE_PURE,"this swarthinesse, by the continuall tanning of vnceased sinnes. </s><s> We haue no nitre of our owne virtuall, enough to whiten vs. Iob had no water of snow, nor Dauid of Hysope, nor had the poole of Bethesda, though stirred with a thousand Angels,",white,MAKE_PURE,MAKE_PURE
